# Initial composition Z = 0.01
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.229700E-001      2.416200E-005      2.669800E-001      7.888600E-009      1.084700E-010      1.798200E-003      2.179000E-005      4.851100E-004      1.193000E-006      4.399700E-003      1.775900E-006      9.922900E-006      3.305100E-007      9.341600E-004      2.351300E-006      7.555700E-005      2.355100E-005      3.452800E-004      4.553300E-005      5.213700E-005      0.000000E+000      3.816300E-005      4.774800E-004      2.236200E-005      4.281200E-006      2.221800E-004      5.372600E-006      4.808000E-005      2.414200E-006      4.400100E-005      3.187600E-008      2.402200E-006      2.440900E-007      1.165600E-005      6.463200E-006      8.860900E-004      2.349300E-006      5.002100E-005      4.939400E-007      1.247600E-006
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.35313E+001  4.75705E+000  2.71156E+000  1.42221E+000  1.57391E+000        CCSN      6.478250E+000      3.146658E-004      4.551359E+000      5.924015E-010      2.913383E-014      1.949199E-001      6.748388E-004      2.817973E-002      4.890115E-006      6.078057E-001      3.311894E-005      2.085511E-003      2.871524E-006      1.663369E-001      1.366273E-004      8.296139E-003      3.145721E-003      6.413086E-002      3.455026E-003      4.337993E-003      3.095981E-006      4.266576E-003      1.220797E-001      2.254076E-003      0.000000E+000      5.913636E-002      1.631612E-004      1.078438E-002      7.646313E-005      8.297673E-003      1.522102E-006      1.695580E-004      2.463078E-005      2.066887E-003      1.046242E-003      9.570945E-002      1.881729E-004      4.743749E-003      3.249983E-005      4.201817E-005
  1.60000E+001  1.53518E+001  5.69170E+000  3.36208E+000  1.44255E+000  1.59862E+000        CCSN      6.726430E+000      1.258397E-004      5.609398E+000      1.011931E-009      7.957842E-014      2.542290E-001      5.207155E-004      4.420474E-002      3.952189E-006      9.555297E-001      5.173280E-005      2.512269E-003      3.265513E-006      3.248464E-001      2.657637E-004      1.392116E-002      6.548732E-003      9.886590E-002      6.625398E-003      7.529249E-003      4.132943E-006      8.402141E-003      1.404726E-001      2.854267E-003      0.000000E+000      6.387857E-002      1.885408E-004      1.126213E-002      7.986308E-005      8.593666E-003      2.375187E-006      1.784333E-004      2.521573E-005      2.072122E-003      1.037552E-003      9.676014E-002      2.592337E-004      4.982420E-003      6.163997E-005      6.120442E-005
  1.80000E+001  1.71160E+001  6.43967E+000  4.03779E+000  1.46362E+000  1.62429E+000        CCSN      7.634906E+000      3.127604E-004      5.987601E+000      1.358897E-009      1.168940E-013      3.244847E-001      8.886448E-004      3.371649E-002      6.745379E-006      1.331380E+000      3.777972E-005      2.756340E-003      5.027576E-006      4.894490E-001      3.262144E-004      1.906735E-002      9.726578E-003      1.349219E-001      1.006252E-002      1.070182E-002      2.799411E-006      1.268405E-002      1.594202E-001      3.472517E-003      0.000000E+000      6.871718E-002      2.128444E-004      1.178420E-002      7.972998E-005      8.951012E-003      3.249162E-006      1.699684E-004      2.623850E-005      2.161136E-003      1.088372E-003      9.910017E-002      3.186375E-004      4.859329E-003      9.147233E-005      7.325469E-005
  2.00000E+001  1.85153E+001  7.25264E+000  4.82922E+000  1.53928E+000  1.71698E+000        CCSN      8.371680E+000      4.199011E-004      6.431186E+000      1.471184E-009      2.509196E-013      4.269211E-001      8.018326E-004      3.661047E-002      8.206433E-006      1.790606E+000      3.910318E-005      1.987223E-003      5.611409E-006      5.791823E-001      4.381457E-004      1.954857E-002      1.314159E-002      1.326848E-001      1.161768E-002      1.382391E-002      2.652322E-006      1.630064E-002      1.875281E-001      3.652023E-003      0.000000E+000      8.983406E-002      3.229938E-004      1.630586E-002      1.677626E-004      1.165299E-002      5.605137E-006      2.365227E-004      2.585509E-005      1.996052E-003      9.283583E-004      1.033443E-001      4.487273E-004      5.588581E-003      1.641643E-004      1.318125E-004
  2.20000E+001  1.84548E+001  8.32660E+000  5.64647E+000  1.61987E+000  1.81666E+000        CCSN      8.721943E+000      4.250392E-004      7.181435E+000      1.579200E-009      1.331467E-013      5.761604E-001      5.623211E-004      3.798824E-002      8.580068E-006      2.269205E+000      4.779982E-005      1.781600E-003      8.466860E-006      6.652919E-001      5.460560E-004      2.978090E-002      1.669267E-002      1.277896E-001      1.305099E-002      1.701349E-002      4.693538E-006      1.994082E-002      2.160961E-001      3.812951E-003      0.000000E+000      1.141403E-001      4.390717E-004      2.213128E-002      2.546412E-004      1.610120E-002      8.162017E-006      2.561442E-004      3.107280E-005      2.808569E-003      1.247983E-003      1.130667E-001      5.024763E-004      4.703716E-003      2.394568E-004      1.587411E-004
  2.40000E+001  2.02972E+001  9.32415E+000  6.54345E+000  1.62164E+000  1.81886E+000        CCSN      9.216433E+000      4.528131E-004      7.778429E+000      1.694072E-009      2.120584E-013      5.878887E-001      6.660999E-004      4.452411E-002      8.485705E-006      2.875562E+000      4.416587E-005      1.157792E-003      8.511368E-006      8.950002E-001      6.082223E-004      2.831593E-002      2.077907E-002      1.657710E-001      1.519915E-002      2.239095E-002      5.158619E-006      2.734963E-002      2.120352E-001      4.387787E-003      0.000000E+000      1.084714E-001      4.365672E-004      2.081000E-002      2.251913E-004      1.546670E-002      9.533111E-006      2.587864E-004      3.075056E-005      2.808034E-003      1.218481E-003      1.025659E-001      5.597892E-004      4.480274E-003      2.994105E-004      2.255233E-004
  2.60000E+001  2.13276E+001  1.02928E+001  7.40177E+000  2.08276E+001  2.13276E+001         FSN      3.343856E+000      2.980781E-004      1.281567E+000      1.822874E-009      2.305386E-013      8.067722E-003      1.331007E-004      3.051609E-003      4.805024E-006      2.007168E-002      8.352586E-006      4.462439E-005      1.498633E-006      4.361428E-003      1.162829E-005      3.439205E-004      1.230146E-004      1.613376E-003      2.082017E-004      2.476076E-004      8.172670E-008      1.790070E-004      2.231130E-003      0.000000E+000      0.000000E+000      1.038159E-003      0.000000E+000      2.246629E-004      0.000000E+000      2.056034E-004      0.000000E+000      1.122495E-005      0.000000E+000      5.446576E-005      0.000000E+000      4.140401E-003      0.000000E+000      2.337314E-004      0.000000E+000      5.829493E-006
  2.80000E+001  2.25363E+001  1.12613E+001  8.26296E+000  2.20363E+001  2.25363E+001         FSN      3.906777E+000      3.495239E-004      1.501903E+000      1.956676E-009      3.032602E-013      9.422781E-003      1.459350E-004      3.642599E-003      5.622035E-006      2.341280E-002      9.729116E-006      5.205821E-005      1.747199E-006      5.099512E-003      1.343525E-005      4.010995E-004      1.456937E-004      1.886590E-003      2.429812E-004      2.897908E-004      1.816416E-007      2.094819E-004      2.608954E-003      0.000000E+000      0.000000E+000      1.213963E-003      0.000000E+000      2.627077E-004      0.000000E+000      2.404207E-004      0.000000E+000      1.312580E-005      0.000000E+000      6.368908E-005      0.000000E+000      4.841543E-003      0.000000E+000      2.733118E-004      0.000000E+000      6.816669E-006
  3.00000E+001  2.31345E+001  1.24284E+001  9.27415E+000  2.26345E+001  2.31345E+001         FSN      4.905330E+000      4.069862E-004      1.891067E+000      2.084656E-009      3.330830E-013      1.164750E-002      3.175804E-004      4.729398E-003      6.079584E-006      2.933946E-002      1.214340E-005      6.516956E-005      2.193709E-006      6.407385E-003      1.709276E-005      5.029527E-004      1.845552E-004      2.370641E-003      3.044905E-004      3.650147E-004      9.557699E-008      2.633602E-004      3.278343E-003      0.000000E+000      0.000000E+000      1.525433E-003      0.000000E+000      3.301116E-004      0.000000E+000      3.021063E-004      0.000000E+000      1.649353E-005      0.000000E+000      8.003001E-005      0.000000E+000      6.083754E-003      0.000000E+000      3.434364E-004      0.000000E+000      8.565646E-006
  3.50000E+001  2.28076E+001  1.49919E+001  1.16306E+001  2.23076E+001  2.28076E+001         FSN      8.144594E+000      5.666651E-004      3.925672E+000      2.428137E-009      7.085951E-013      1.634305E-002      5.144835E-004      2.131777E-002      8.388900E-006      4.325362E-002      1.949047E-005      9.041508E-005      3.175404E-006      1.131641E-002      3.651800E-005      7.355992E-004      5.623756E-004      4.211639E-003      4.573468E-004      7.183930E-004      2.068737E-006      4.832721E-004      5.824080E-003      0.000000E+000      0.000000E+000      2.709932E-003      0.000000E+000      5.864432E-004      0.000000E+000      5.366917E-004      0.000000E+000      2.930076E-005      0.000000E+000      1.421733E-004      0.000000E+000      1.080779E-002      0.000000E+000      6.101148E-004      0.000000E+000      1.521687E-005
