# Initial composition Z = 0.014
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.129800E-001      2.470500E-005      2.729800E-001      1.006500E-008      1.518600E-010      2.517400E-003      3.050600E-005      6.791600E-004      1.670200E-006      6.159600E-003      2.486300E-006      1.389200E-005      4.627200E-007      1.307800E-003      3.291800E-006      1.057800E-004      3.297100E-005      4.833900E-004      6.374600E-005      7.299100E-005      0.000000E+000      5.342800E-005      6.684800E-004      3.130600E-005      5.993700E-006      3.110500E-004      7.521600E-006      6.731200E-005      3.379800E-006      6.160200E-005      4.462600E-008      3.363100E-006      3.417200E-007      1.631900E-005      9.048500E-006      1.240500E-003      3.289000E-006      7.002900E-005      6.915100E-007      1.746600E-006
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.33544E+001  4.62372E+000  2.72566E+000  1.45711E+000  1.61635E+000        CCSN      6.369185E+000      2.624208E-004      4.592402E+000      1.275326E-009      1.023169E-013      2.036279E-001      1.072323E-003      3.958129E-002      6.511144E-006      6.188157E-001      4.060938E-005      2.839660E-003      3.934752E-006      1.431541E-001      1.604727E-004      1.061233E-002      3.259856E-003      5.778565E-002      4.047237E-003      5.401463E-003      2.610369E-007      4.431346E-003      1.289816E-001      2.828734E-003      0.000000E+000      6.232751E-002      1.875716E-004      1.111454E-002      7.850612E-005      8.332118E-003      2.121914E-006      1.862895E-004      2.703703E-005      2.194407E-003      1.122281E-003      1.003315E-001      2.250936E-004      5.278956E-003      4.741967E-005      5.419941E-005
  1.60000E+001  1.50099E+001  5.51296E+000  3.29349E+000  1.46376E+000  1.62446E+000        CCSN      7.216703E+000      2.871771E-004      5.141645E+000      1.570854E-009      1.693488E-013      2.522159E-001      1.213279E-003      4.150727E-002      8.476699E-006      9.257521E-001      5.184056E-005      3.432441E-003      5.208264E-006      2.988542E-001      2.715385E-004      1.650665E-002      6.685697E-003      9.042476E-002      8.142475E-003      9.230279E-003      5.809349E-006      9.184040E-003      1.418791E-001      3.456953E-003      0.000000E+000      6.547909E-002      2.133935E-004      1.146919E-002      8.631212E-005      8.564345E-003      3.197032E-006      1.931093E-004      2.766690E-005      2.185048E-003      1.117235E-003      1.025641E-001      3.141626E-004      5.636686E-003      8.526832E-005      7.681208E-005
  1.80000E+001  1.62278E+001  6.65061E+000  4.09524E+000  1.47367E+000  1.63655E+000        CCSN      6.340467E+000      4.817974E-005      7.180122E+000      1.836195E-009      5.425418E-013      3.075287E-001      4.541828E-004      8.248290E-002      5.617136E-006      1.327034E+000      5.369072E-005      4.080165E-003      4.139346E-006      5.164296E-001      4.728257E-004      2.395366E-002      1.207785E-002      1.355723E-001      1.363840E-002      1.479202E-002      1.194855E-005      1.584916E-002      1.595800E-001      4.333690E-003      0.000000E+000      6.987380E-002      2.489536E-004      1.198700E-002      9.648381E-005      8.891379E-003      4.714739E-006      1.886549E-004      2.867531E-005      2.178761E-003      1.132639E-003      1.052665E-001      4.330864E-004      5.952546E-003      1.390375E-004      1.031517E-004
  2.00000E+001  1.83726E+001  7.12691E+000  4.81237E+000  1.54157E+000  1.71980E+000        CCSN      8.319460E+000      3.681361E-004      6.433668E+000      1.968688E-009      5.992060E-012      4.200636E-001      1.047788E-003      5.035691E-002      1.173428E-005      1.781124E+000      5.284070E-005      2.960512E-003      7.352198E-006      5.919749E-001      5.429511E-004      2.436883E-002      1.535888E-002      1.326634E-001      1.571423E-002      1.852817E-002      3.637402E-006      1.991720E-002      1.905061E-001      4.597588E-003      0.000000E+000      9.171768E-002      3.747437E-004      1.665946E-002      1.905240E-004      1.164360E-002      7.776422E-006      2.596528E-004      2.999582E-005      2.126394E-003      1.055719E-003      1.082433E-001      5.812953E-004      6.632903E-003      2.356133E-004      1.707689E-004
  2.20000E+001  1.91059E+001  8.26184E+000  5.62021E+000  1.61739E+000  1.81359E+000        CCSN      8.686656E+000      3.791068E-004      7.156261E+000      2.108526E-009      2.754846E-013      5.689760E-001      8.765796E-004      5.022289E-002      1.229824E-005      2.264805E+000      5.935625E-005      2.797293E-003      1.164685E-005      6.766531E-001      6.777117E-004      3.866427E-002      1.971795E-002      1.292294E-001      1.779127E-002      2.295434E-002      5.018506E-006      2.450466E-002      2.224880E-001      4.913514E-003      0.000000E+000      1.162064E-001      5.148664E-004      2.234127E-002      2.884082E-004      1.563189E-002      1.128168E-005      2.830773E-004      3.579159E-005      2.833511E-003      1.387352E-003      1.194907E-001      6.694406E-004      5.966403E-003      3.429028E-004      2.149234E-004
  2.40000E+001  2.00675E+001  9.22898E+000  6.44679E+000  1.62145E+000  1.81863E+000        CCSN      9.185515E+000      3.894336E-004      7.848564E+000      2.282399E-009      3.416497E-013      5.904479E-001      7.227328E-004      6.186680E-002      1.232046E-005      2.822722E+000      6.235071E-005      1.909287E-003      1.157746E-005      8.775641E-001      7.540862E-004      3.718171E-002      2.468847E-002      1.590618E-001      2.038255E-002      2.936870E-002      6.392235E-006      3.260544E-002      2.220635E-001      5.560439E-003      0.000000E+000      1.132229E-001      5.292296E-004      2.155644E-002      2.654057E-004      1.541737E-002      1.296035E-005      2.914683E-004      3.616175E-005      2.911143E-003      1.388718E-003      1.110955E-001      7.394565E-004      5.696567E-003      4.210629E-004      2.988770E-004
  2.60000E+001  2.09426E+001  1.02481E+001  7.38438E+000  2.04426E+001  2.09426E+001         FSN      3.529945E+000      2.444602E-004      1.456412E+000      2.463689E-009      4.174709E-013      1.169489E-002      2.809349E-004      5.815817E-003      5.682215E-006      2.967092E-002      1.266938E-005      6.500003E-005      2.214336E-006      6.607035E-003      1.930321E-005      5.079092E-004      2.012015E-004      2.444955E-003      3.088605E-004      3.819466E-004      1.080174E-007      2.714954E-004      3.381113E-003      0.000000E+000      0.000000E+000      1.573253E-003      0.000000E+000      3.404600E-004      0.000000E+000      3.115768E-004      0.000000E+000      1.701058E-005      0.000000E+000      8.253881E-005      0.000000E+000      6.274469E-003      0.000000E+000      3.542026E-004      0.000000E+000      8.834163E-006
  2.80000E+001  2.15142E+001  1.13515E+001  8.30671E+000  2.10142E+001  2.15142E+001         FSN      4.505994E+000      2.784719E-004      1.888696E+000      2.656434E-009      5.724555E-013      1.436363E-002      6.600169E-004      8.309435E-003      6.078445E-006      3.756015E-002      1.594778E-005      8.192055E-005      2.804690E-006      8.470802E-003      2.520363E-005      6.424688E-004      2.697092E-004      3.135574E-003      3.917375E-004      4.938412E-004      1.924113E-007      3.486707E-004      4.336161E-003      0.000000E+000      0.000000E+000      2.017641E-003      0.000000E+000      4.366279E-004      0.000000E+000      3.995861E-004      0.000000E+000      2.181546E-005      0.000000E+000      1.058531E-004      0.000000E+000      8.046783E-003      0.000000E+000      4.542522E-004      0.000000E+000      1.132950E-005
  3.00000E+001  2.03211E+001  1.23833E+001  9.23839E+000  1.98211E+001  2.03211E+001         FSN      6.593381E+000      4.139438E-004      2.949736E+000      2.843777E-009      7.194467E-013      2.042763E-002      6.972679E-004      1.645826E-002      9.965687E-006      5.313000E-002      2.321991E-005      1.146717E-004      3.944818E-006      1.262773E-002      4.172867E-005      9.054568E-004      4.707368E-004      4.679785E-003      5.580448E-004      7.618212E-004      5.946575E-007      5.230246E-004      6.471608E-003      0.000000E+000      0.000000E+000      3.011269E-003      0.000000E+000      6.516540E-004      0.000000E+000      5.963703E-004      0.000000E+000      3.255892E-005      0.000000E+000      1.579826E-004      0.000000E+000      1.200958E-002      0.000000E+000      6.779578E-004      0.000000E+000      1.690894E-005
  3.50000E+001  1.76223E+001  1.49221E+001  1.16591E+001  1.71223E+001  1.76223E+001         FSN      1.057812E+001      5.075063E-004      6.556883E+000      3.397301E-009      1.084589E-011      2.530596E-002      1.020746E-003      6.392021E-002      1.281808E-005      7.173361E-002      3.810897E-005      1.391161E-004      4.995430E-006      2.253658E-002      9.380298E-005      1.193855E-003      1.446450E-003      8.406914E-003      7.802290E-004      1.562791E-003      7.109391E-006      9.709770E-004      1.162547E-002      0.000000E+000      0.000000E+000      5.409287E-003      0.000000E+000      1.170598E-003      0.000000E+000      1.071289E-003      0.000000E+000      5.848716E-005      0.000000E+000      2.837917E-004      0.000000E+000      2.157339E-002      0.000000E+000      1.217848E-003      0.000000E+000      3.037434E-005
