# Initial composition Z = 0.014
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.129800E-001      2.470500E-005      2.729800E-001      1.006500E-008      1.518600E-010      2.517400E-003      3.050600E-005      6.791600E-004      1.670200E-006      6.159600E-003      2.486300E-006      1.389200E-005      4.627200E-007      1.307800E-003      3.291800E-006      1.057800E-004      3.297100E-005      4.833900E-004      6.374600E-005      7.299100E-005      0.000000E+000      5.342800E-005      6.684800E-004      3.130600E-005      5.993700E-006      3.110500E-004      7.521600E-006      6.731200E-005      3.379800E-006      6.160200E-005      4.462600E-008      3.363100E-006      3.417200E-007      1.631900E-005      9.048500E-006      1.240500E-003      3.289000E-006      7.002900E-005      6.915100E-007      1.746600E-006
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.33544E+001  4.62372E+000  2.72566E+000      4.394248E-001      2.212628E-005      1.970493E-001      1.270841E-009      6.223899E-014      1.027434E-003      5.989037E-005      1.590085E-003      5.315030E-007      3.412244E-003      2.083012E-006      6.333673E-006      2.530661E-007      8.428768E-004      3.746394E-006      5.733571E-005      3.281555E-005      3.121305E-004      3.667184E-005      5.167371E-005      2.076358E-009      3.462570E-005      4.316430E-004      0.000000E+000      0.000000E+000      2.008463E-004      0.000000E+000      4.346417E-005      0.000000E+000      3.977684E-005      0.000000E+000      2.171622E-006      0.000000E+000      1.053716E-005      0.000000E+000      8.010180E-004      0.000000E+000      4.521858E-005      0.000000E+000      1.127796E-006
  1.60000E+001  1.50099E+001  5.51296E+000  3.29349E+000      6.609658E-001      3.257053E-005      3.151724E-001      1.564531E-009      1.688946E-013      1.584649E-003      9.427643E-005      2.548676E-003      8.159071E-007      5.093784E-003      3.078999E-006      9.504193E-006      3.774177E-007      1.291543E-003      6.510133E-006      8.583901E-005      5.312196E-005      4.787417E-004      5.448359E-005      8.091905E-005      1.667745E-008      5.326817E-005      6.620463E-004      0.000000E+000      0.000000E+000      3.080539E-004      0.000000E+000      6.666445E-005      0.000000E+000      6.100891E-005      0.000000E+000      3.330790E-006      0.000000E+000      1.616168E-005      0.000000E+000      1.228585E-003      0.000000E+000      6.935534E-005      0.000000E+000      1.729791E-006
  1.80000E+001  1.62278E+001  6.65061E+000  4.09524E+000      1.033599E+000      2.234410E-005      7.137341E-001      1.832457E-009      5.364762E-013      1.103567E-003      7.899654E-005      9.318903E-003      7.562959E-007      6.124868E-003      6.438085E-006      6.332786E-006      4.186455E-007      2.299641E-003      2.049597E-005      9.679443E-005      1.605709E-004      8.574627E-004      7.059050E-005      1.712959E-004      1.534879E-007      9.701317E-005      1.185754E-003      0.000000E+000      0.000000E+000      5.517329E-004      0.000000E+000      1.193979E-004      0.000000E+000      1.092686E-004      0.000000E+000      5.965536E-006      0.000000E+000      2.894600E-005      0.000000E+000      2.200429E-003      0.000000E+000      1.242173E-004      0.000000E+000      3.098102E-006
  2.00000E+001  1.83726E+001  7.12691E+000  4.81237E+000      1.077872E+000      5.967301E-005      5.266634E-001      1.951975E-009      8.827395E-013      2.897419E-003      1.145882E-004      3.894055E-003      1.571920E-006      8.369709E-003      4.556003E-006      1.638551E-005      6.140062E-007      2.121482E-003      9.873762E-006      1.411856E-004      8.989792E-005      7.869511E-004      8.888757E-005      1.332994E-004      7.915732E-008      8.792944E-005      1.088262E-003      0.000000E+000      0.000000E+000      5.063733E-004      0.000000E+000      1.095818E-004      0.000000E+000      1.002853E-004      0.000000E+000      5.475090E-006      0.000000E+000      2.656626E-005      0.000000E+000      2.019525E-003      0.000000E+000      1.140050E-004      0.000000E+000      2.843398E-006
  2.20000E+001  1.91059E+001  8.26184E+000  5.62021E+000      2.038035E+000      1.388816E-004      8.153963E-001      2.107461E-009      2.630052E-013      6.775367E-003      2.267434E-004      2.848669E-003      3.390179E-006      1.733278E-002      7.335855E-006      3.811955E-005      1.298265E-006      3.782760E-003      1.072240E-005      2.971300E-004      1.063583E-004      1.399064E-003      1.799744E-004      2.156117E-004      2.244067E-008      1.549709E-004      1.934760E-003      0.000000E+000      0.000000E+000      9.002574E-004      0.000000E+000      1.948203E-004      0.000000E+000      1.782925E-004      0.000000E+000      9.733907E-006      0.000000E+000      4.723092E-005      0.000000E+000      3.590418E-003      0.000000E+000      2.026841E-004      0.000000E+000      5.055144E-006
  2.40000E+001  2.00675E+001  9.22898E+000  6.44679E+000      2.758131E+000      2.007329E-004      1.119068E+000      2.281665E-009      3.106989E-013      9.255982E-003      1.728158E-004      4.142407E-003      5.327814E-006      2.334175E-002      9.982603E-006      5.124374E-005      1.742448E-006      5.138804E-003      1.474974E-005      3.997725E-004      1.499019E-004      1.901062E-003      2.426314E-004      2.947166E-004      5.795293E-008      2.108075E-004      2.628970E-003      0.000000E+000      0.000000E+000      1.223277E-003      0.000000E+000      2.647234E-004      0.000000E+000      2.422654E-004      0.000000E+000      1.322651E-005      0.000000E+000      6.417775E-005      0.000000E+000      4.878690E-003      0.000000E+000      2.754089E-004      0.000000E+000      6.868971E-006
  2.60000E+001  2.09426E+001  1.02481E+001  7.38438E+000      3.529945E+000      2.444602E-004      1.456412E+000      2.463689E-009      4.174709E-013      1.169489E-002      2.809349E-004      5.815817E-003      5.682215E-006      2.967092E-002      1.266938E-005      6.500003E-005      2.214336E-006      6.607035E-003      1.930321E-005      5.079092E-004      2.012015E-004      2.444955E-003      3.088605E-004      3.819466E-004      1.080174E-007      2.714954E-004      3.381113E-003      0.000000E+000      0.000000E+000      1.573253E-003      0.000000E+000      3.404600E-004      0.000000E+000      3.115768E-004      0.000000E+000      1.701058E-005      0.000000E+000      8.253881E-005      0.000000E+000      6.274469E-003      0.000000E+000      3.542026E-004      0.000000E+000      8.834163E-006
  2.80000E+001  2.15142E+001  1.13515E+001  8.30671E+000      4.505994E+000      2.784719E-004      1.888696E+000      2.656434E-009      5.724555E-013      1.436363E-002      6.600169E-004      8.309435E-003      6.078445E-006      3.756015E-002      1.594778E-005      8.192055E-005      2.804690E-006      8.470802E-003      2.520363E-005      6.424688E-004      2.697092E-004      3.135574E-003      3.917375E-004      4.938412E-004      1.924113E-007      3.486707E-004      4.336161E-003      0.000000E+000      0.000000E+000      2.017641E-003      0.000000E+000      4.366279E-004      0.000000E+000      3.995861E-004      0.000000E+000      2.181546E-005      0.000000E+000      1.058531E-004      0.000000E+000      8.046783E-003      0.000000E+000      4.542522E-004      0.000000E+000      1.132950E-005
  3.00000E+001  2.03211E+001  1.23833E+001  9.23839E+000      6.593381E+000      4.139438E-004      2.949736E+000      2.843777E-009      7.194467E-013      2.042763E-002      6.972679E-004      1.645826E-002      9.965687E-006      5.313000E-002      2.321991E-005      1.146717E-004      3.944818E-006      1.262773E-002      4.172867E-005      9.054568E-004      4.707368E-004      4.679785E-003      5.580448E-004      7.618212E-004      5.946575E-007      5.230246E-004      6.471608E-003      0.000000E+000      0.000000E+000      3.011269E-003      0.000000E+000      6.516540E-004      0.000000E+000      5.963703E-004      0.000000E+000      3.255892E-005      0.000000E+000      1.579826E-004      0.000000E+000      1.200958E-002      0.000000E+000      6.779578E-004      0.000000E+000      1.690894E-005
  3.50000E+001  1.76223E+001  1.49221E+001  1.16591E+001      1.057812E+001      5.075063E-004      6.556883E+000      3.397301E-009      1.084589E-011      2.530596E-002      1.020746E-003      6.392021E-002      1.281808E-005      7.173361E-002      3.810897E-005      1.391161E-004      4.995430E-006      2.253658E-002      9.380298E-005      1.193855E-003      1.446450E-003      8.406914E-003      7.802290E-004      1.562791E-003      7.109391E-006      9.709770E-004      1.162547E-002      0.000000E+000      0.000000E+000      5.409287E-003      0.000000E+000      1.170598E-003      0.000000E+000      1.071289E-003      0.000000E+000      5.848716E-005      0.000000E+000      2.837917E-004      0.000000E+000      2.157339E-002      0.000000E+000      1.217848E-003      0.000000E+000      3.037434E-005
