# Initial composition Z = 0.0001
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.511600E-001      2.250600E-005      2.486800E-001      2.720200E-009      1.084700E-012      1.798200E-005      2.179000E-007      4.851100E-006      1.193000E-008      4.399700E-005      1.775900E-008      9.922900E-008      3.305100E-009      9.341600E-006      2.351300E-008      7.555700E-007      2.355100E-007      3.452800E-006      4.553300E-007      5.213700E-007      0.000000E+000      3.816300E-007      4.774800E-006      2.236200E-007      4.281200E-008      2.221800E-006      5.372600E-008      4.808000E-007      2.414200E-008      4.400100E-007      3.187600E-010      2.402200E-008      2.440900E-009      1.165600E-007      6.463200E-008      8.860900E-006      2.349300E-008      5.002100E-007      4.939400E-009      1.247600E-008
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.39961E+001  4.91386E+000  2.83685E+000      2.916387E-003      3.284301E-007      9.707505E-004      1.030100E-011      8.644470E-019      6.878672E-008      8.737023E-010      2.095747E-008      4.552726E-011      1.701161E-007      8.473700E-011      3.801652E-010      1.275284E-011      3.625850E-008      9.162258E-011      2.910015E-009      1.008584E-009      1.343249E-008      1.761330E-009      2.019010E-009      3.425114E-013      1.494618E-009      1.856709E-008      0.000000E+000      0.000000E+000      8.637946E-009      0.000000E+000      1.869296E-009      0.000000E+000      1.710713E-009      0.000000E+000      9.339659E-011      0.000000E+000      4.531794E-010      0.000000E+000      3.444998E-008      0.000000E+000      1.944750E-009      0.000000E+000      4.850398E-011
  1.60000E+001  1.59939E+001  5.73999E+000  3.53216E+000      4.577557E-003      5.191491E-007      1.521261E-003      1.634761E-011      1.555585E-018      1.087288E-007      1.352646E-009      3.142936E-008      7.203917E-011      2.675240E-007      1.205025E-010      6.004806E-010      2.007682E-011      5.692730E-008      1.434344E-010      4.585454E-009      1.517082E-009      2.107447E-008      2.769207E-009      3.172448E-009      2.679554E-013      2.336753E-009      2.913016E-008      0.000000E+000      0.000000E+000      1.355269E-008      0.000000E+000      2.932873E-009      0.000000E+000      2.684060E-009      0.000000E+000      1.465366E-010      0.000000E+000      7.110257E-010      0.000000E+000      5.405105E-008      0.000000E+000      3.051257E-009      0.000000E+000      7.610138E-011
  1.80000E+001  1.79905E+001  6.60100E+000  4.19472E+000      7.110083E-003      8.105866E-007      2.358310E-003      2.560485E-011      7.595256E-018      1.697294E-007      2.078266E-009      4.711001E-008      1.125479E-010      4.160510E-007      1.713812E-010      9.368949E-010      3.124576E-011      8.842773E-008      2.225370E-010      7.141517E-009      2.279875E-009      3.271091E-008      4.306109E-009      4.932002E-009      3.416509E-013      3.619449E-009      4.522153E-008      0.000000E+000      0.000000E+000      2.104046E-008      0.000000E+000      4.553265E-009      0.000000E+000      4.166984E-009      0.000000E+000      2.274971E-010      0.000000E+000      1.103862E-009      0.000000E+000      8.391387E-008      0.000000E+000      4.737056E-009      0.000000E+000      1.181469E-010
  2.00000E+001  1.99864E+001  7.56001E+000  4.98020E+000      1.018346E-002      1.162747E-006      3.374313E-003      3.672927E-011      1.547002E-017      2.434533E-007      2.968020E-009      6.655360E-008      1.614631E-010      5.962258E-007      2.430833E-010      1.343689E-009      4.478534E-011      1.266492E-007      3.186800E-010      1.023723E-008      3.223964E-009      4.683058E-008      6.170554E-009      7.066212E-009      2.289825E-013      5.178440E-009      6.475028E-008      0.000000E+000      0.000000E+000      3.012777E-008      0.000000E+000      6.519806E-009      0.000000E+000      5.966692E-009      0.000000E+000      3.257523E-010      0.000000E+000      1.580617E-009      0.000000E+000      1.201560E-007      0.000000E+000      6.782975E-009      0.000000E+000      1.691741E-010
  2.20000E+001  2.19814E+001  8.49070E+000  5.79603E+000      1.397852E-002      1.598500E-006      4.627843E-003      5.056477E-011      9.111570E-018      3.346328E-007      4.055042E-009      9.027902E-008      2.220144E-010      8.187767E-007      3.304973E-010      1.846641E-009      6.150816E-011      1.738447E-007      4.375712E-010      1.406106E-008      4.382787E-009      6.425529E-008      8.473552E-009      9.702556E-009      0.000000E+000      7.102028E-009      8.885862E-008      0.000000E+000      0.000000E+000      4.134657E-008      0.000000E+000      8.947612E-009      0.000000E+000      8.188532E-009      0.000000E+000      4.470540E-010      0.000000E+000      2.169198E-009      0.000000E+000      1.648990E-007      0.000000E+000      9.308778E-009      0.000000E+000      2.321701E-010
  2.40000E+001  2.39754E+001  9.46471E+000  6.66978E+000      1.848227E-002      2.113493E-006      6.118894E-003      6.690116E-011      1.398058E-017      4.424486E-007      5.361541E-009      1.193661E-007      2.935455E-010      1.082579E-006      4.369807E-010      2.441612E-009      8.132556E-011      2.298559E-007      5.785528E-010      1.859142E-008      5.794883E-009      8.495778E-008      1.120366E-008      1.282863E-008      0.000000E+000      9.390239E-009      1.174881E-007      0.000000E+000      0.000000E+000      5.466807E-008      0.000000E+000      1.183045E-008      0.000000E+000      1.082681E-008      0.000000E+000      5.910909E-010      0.000000E+000      2.868094E-009      0.000000E+000      2.180280E-007      0.000000E+000      1.230798E-008      0.000000E+000      3.069733E-010
  2.60000E+001  2.59692E+001  1.05385E+001  7.61930E+000      2.317105E-002      2.649618E-006      7.671200E-003      8.377228E-011      2.017595E-017      5.546936E-007      6.721714E-009      1.496482E-007      3.680152E-010      1.357220E-006      5.478386E-010      3.061026E-009      1.019571E-010      2.881682E-007      7.253262E-010      2.330789E-008      7.264990E-009      1.065108E-007      1.404592E-008      1.608314E-008      0.000000E+000      1.177245E-008      1.472937E-007      0.000000E+000      0.000000E+000      6.853685E-008      0.000000E+000      1.483173E-008      0.000000E+000      1.357346E-008      0.000000E+000      7.410451E-010      0.000000E+000      3.595703E-009      0.000000E+000      2.733396E-007      0.000000E+000      1.543041E-008      0.000000E+000      3.848496E-010
  2.80000E+001  2.79618E+001  1.16058E+001  8.61405E+000      2.872100E-002      3.284216E-006      9.508612E-003      1.038377E-010      2.774248E-017      6.875544E-007      8.331705E-009      1.854921E-007      4.561626E-010      1.682302E-006      6.790574E-010      3.794206E-009      1.263779E-010      3.571905E-007      8.990570E-010      2.889061E-008      9.005107E-009      1.320223E-007      1.741021E-008      1.993539E-008      0.000000E+000      1.459220E-008      1.825737E-007      0.000000E+000      0.000000E+000      8.495286E-008      0.000000E+000      1.838424E-008      0.000000E+000      1.682459E-008      0.000000E+000      9.185409E-010      0.000000E+000      4.456949E-009      0.000000E+000      3.388102E-007      0.000000E+000      1.912631E-008      0.000000E+000      4.770291E-010
  3.00000E+001  2.99532E+001  1.26524E+001  9.58111E+000      3.515968E-002      4.020441E-006      1.164025E-002      1.271280E-010      3.665875E-017      8.416904E-007      1.019951E-008      2.270757E-007      5.584252E-010      2.059441E-006      8.312886E-010      4.644792E-009      1.547094E-010      4.372655E-007      1.100608E-009      3.536731E-008      1.102387E-008      1.616191E-007      2.131324E-008      2.440451E-008      0.000000E+000      1.786349E-008      2.235030E-007      0.000000E+000      0.000000E+000      1.039976E-007      0.000000E+000      2.250562E-008      0.000000E+000      2.059633E-008      0.000000E+000      1.124460E-009      0.000000E+000      5.456108E-009      0.000000E+000      4.147647E-007      0.000000E+000      2.341405E-008      0.000000E+000      5.839696E-010
  3.50000E+001  3.49309E+001  1.55620E+001  1.21972E+001      5.190920E-002      5.935545E-006      1.718549E-002      1.867817E-010      6.499148E-017      1.242658E-006      1.505839E-008      3.352510E-007      8.244501E-010      3.040526E-006      1.227301E-009      6.857498E-009      2.284105E-010      6.455719E-007      1.624920E-009      5.221574E-008      1.627547E-008      2.386119E-007      3.146653E-008      3.603043E-008      5.810276E-038      2.637337E-008      3.299764E-007      0.000000E+000      0.000000E+000      1.535404E-007      0.000000E+000      3.322694E-008      0.000000E+000      3.040810E-008      0.000000E+000      1.660134E-009      0.000000E+000      8.055312E-009      0.000000E+000      6.123521E-007      0.000000E+000      3.456813E-008      0.000000E+000      8.621635E-010
  4.00000E+001  3.99055E+001  1.84462E+001  1.48807E+001      7.095969E-002      8.113668E-006      2.349250E-002      2.538845E-010      1.013341E-016      1.698710E-006      2.058477E-008      4.582870E-007      1.127020E-009      4.156389E-006      1.677717E-009      9.374175E-009      3.122363E-010      8.824945E-007      2.221260E-009      7.137874E-008      2.224852E-008      3.261817E-007      4.301463E-008      4.925347E-008      0.000000E+000      3.605230E-008      4.510766E-007      0.000000E+000      0.000000E+000      2.098892E-007      0.000000E+000      4.542112E-008      0.000000E+000      4.156777E-008      0.000000E+000      2.269398E-009      0.000000E+000      1.101158E-008      0.000000E+000      8.370832E-007      0.000000E+000      4.725452E-008      0.000000E+000      1.178574E-009
  5.00000E+001  4.98356E+001  2.44829E+001  2.04421E+001      1.234708E-001      1.411780E-005      4.087726E-002      4.231874E-010      1.962708E-016      2.955777E-006      3.581845E-008      7.974253E-007      1.961003E-009      7.232171E-006      2.919249E-009      1.631119E-008      5.432953E-010      1.535552E-006      3.865021E-009      1.241999E-007      3.871271E-008      5.675604E-007      7.484602E-008      8.570168E-008      1.472272E-025      6.273148E-008      7.848791E-007      0.000000E+000      0.000000E+000      3.652100E-007      0.000000E+000      7.903334E-008      0.000000E+000      7.232846E-008      0.000000E+000      3.948782E-009      0.000000E+000      1.916030E-008      0.000000E+000      1.456536E-006      0.000000E+000      8.222348E-008      0.000000E+000      2.050735E-009
  6.00000E+001  5.97595E+001  3.05325E+001  2.60516E+001      1.806476E-001      2.065522E-005      5.980670E-002      5.929778E-010      3.178165E-016      4.324539E-006      5.240433E-008      1.166697E-006      2.869142E-009      1.058124E-005      4.271095E-009      2.386457E-008      7.948845E-010      2.246635E-006      5.654835E-009      1.817145E-007      5.663979E-008      8.303863E-007      1.095057E-007      1.253884E-007      4.601467E-028      9.178117E-008      1.148341E-006      0.000000E+000      0.000000E+000      5.343314E-007      0.000000E+000      1.156321E-007      0.000000E+000      1.058223E-007      0.000000E+000      5.777384E-009      0.000000E+000      2.803305E-008      0.000000E+000      2.131028E-006      0.000000E+000      1.202995E-007      0.000000E+000      3.000389E-009
  7.00000E+001  6.94805E+001  3.66736E+001  3.19108E+001      3.901216E-001      4.438222E-005      1.292563E-001      8.712378E-010      4.634963E-016      9.313802E-006      1.173658E-007      2.576003E-006      6.144551E-009      2.282265E-005      9.223216E-009      5.143102E-008      1.714486E-009      4.850603E-006      1.219754E-008      3.920017E-007      1.241755E-007      1.794784E-006      2.361923E-007      2.704966E-007      4.173107E-012      1.988252E-007      2.480553E-006      0.000000E+000      0.000000E+000      1.154149E-006      0.000000E+000      2.497638E-007      0.000000E+000      2.285748E-007      0.000000E+000      1.247907E-008      0.000000E+000      6.055102E-008      0.000000E+000      4.602993E-006      0.000000E+000      2.598454E-007      0.000000E+000      6.480801E-009
  8.00000E+001  7.88812E+001  4.28328E+001  3.76874E+001      8.392230E-001      9.152490E-005      2.794064E-001      1.019363E-009      1.445783E-015      1.965318E-005      3.248011E-007      6.448571E-006      1.226349E-008      4.858322E-005      1.970693E-008      1.090467E-007      3.649720E-009      1.041321E-005      2.597664E-008      8.358637E-007      2.981432E-007      3.884064E-006      5.027644E-007      5.768601E-007      6.641735E-011      4.383360E-007      5.344658E-006      0.000000E+000      0.000000E+000      2.485798E-006      0.000000E+000      5.379395E-007      0.000000E+000      4.923029E-007      0.000000E+000      2.687734E-008      0.000000E+000      1.304144E-007      0.000000E+000      9.913894E-006      0.000000E+000      5.596532E-007      0.000000E+000      1.395831E-008
