# Initial composition Z = 0.0001
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.511600E-001      2.250600E-005      2.486800E-001      2.720200E-009      1.084700E-012      1.798200E-005      2.179000E-007      4.851100E-006      1.193000E-008      4.399700E-005      1.775900E-008      9.922900E-008      3.305100E-009      9.341600E-006      2.351300E-008      7.555700E-007      2.355100E-007      3.452800E-006      4.553300E-007      5.213700E-007      0.000000E+000      3.816300E-007      4.774800E-006      2.236200E-007      4.281200E-008      2.221800E-006      5.372600E-008      4.808000E-007      2.414200E-008      4.400100E-007      3.187600E-010      2.402200E-008      2.440900E-009      1.165600E-007      6.463200E-008      8.860900E-006      2.349300E-008      5.002100E-007      4.939400E-009      1.247600E-008
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.39961E+001  4.91386E+000  2.83685E+000  1.49276E+000  1.65989E+000        CCSN      6.479349E+000      2.643370E-004      4.567280E+000      7.553738E-011      2.234651E-015      2.076842E-001      4.645948E-006      3.309856E-004      3.744908E-008      6.208096E-001      1.761715E-006      6.369996E-006      2.534266E-008      1.216886E-001      1.020588E-005      1.003028E-004      4.785019E-004      7.463685E-002      2.545811E-004      3.988367E-004      7.227467E-008      9.821875E-004      1.133512E-001      6.673592E-004      0.000000E+000      4.874219E-002      5.382704E-005      8.907712E-003      1.875428E-005      7.520672E-003      7.034063E-008      1.521922E-004      8.266900E-006      1.732337E-003      3.956876E-004      7.858471E-002      2.020257E-005      1.961240E-003      1.312749E-005      5.153661E-005
  1.60000E+001  1.59939E+001  5.73999E+000  3.53216E+000  1.45494E+000  1.61371E+000        CCSN      7.255964E+000      2.804410E-004      5.042726E+000      2.153271E-011      8.881339E-015      2.680138E-001      5.070789E-006      3.360741E-004      4.198333E-008      1.073036E+000      2.087502E-006      6.596521E-006      3.677647E-008      3.408748E-001      2.194099E-005      1.699658E-004      1.286589E-003      1.313929E-001      4.936044E-004      8.569644E-004      1.403023E-007      2.171500E-003      1.120069E-001      7.037987E-004      0.000000E+000      4.633933E-002      4.330243E-005      8.647372E-003      1.735562E-005      7.546803E-003      6.971699E-008      1.524005E-004      1.034521E-005      1.713811E-003      4.804975E-004      7.966858E-002      5.222229E-005      2.526572E-003      6.797600E-006      3.818765E-005
  1.80000E+001  1.79905E+001  6.60100E+000  4.19472E+000  1.45684E+000  1.61602E+000        CCSN      7.616083E+000      2.921145E-004      5.999927E+000      3.705363E-011      1.123316E-012      3.165441E-001      5.843787E-006      4.067485E-004      4.855027E-008      1.486781E+000      1.491929E-006      5.842924E-006      4.190295E-008      5.101923E-001      3.220425E-005      2.029565E-004      1.969727E-003      1.670899E-001      6.202947E-004      1.099551E-003      2.432544E-007      2.859193E-003      1.174907E-001      7.045603E-004      0.000000E+000      4.864819E-002      3.711696E-005      9.255740E-003      1.613806E-005      8.187459E-003      7.438450E-008      1.436921E-004      1.168433E-005      1.769879E-003      5.349799E-004      8.046281E-002      6.222512E-005      2.993640E-003      7.755424E-006      4.120633E-005
  2.00000E+001  1.99864E+001  7.56001E+000  4.98020E+000  1.57078E+000  1.75584E+000        CCSN      8.375657E+000      2.960502E-004      6.437491E+000      3.712233E-011      4.781759E-012      4.148430E-001      6.251493E-006      4.661722E-004      6.741386E-008      1.933568E+000      1.999961E-006      4.196483E-006      4.930165E-008      5.939195E-001      4.174823E-005      2.329830E-004      2.516352E-003      1.550024E-001      4.724323E-004      8.142472E-004      3.207951E-007      2.352935E-003      1.249729E-001      6.049399E-004      0.000000E+000      5.359197E-002      4.275859E-005      1.028522E-002      1.951318E-005      8.995464E-003      9.346424E-008      1.679493E-004      7.422780E-006      1.795193E-003      3.684617E-004      1.085647E-001      1.405546E-005      2.962276E-003      3.184677E-005      1.222793E-004
  2.20000E+001  2.19814E+001  8.49070E+000  5.79603E+000  1.68196E+000  1.89413E+000        CCSN      8.750057E+000      3.285401E-004      7.195218E+000      1.232606E-010      1.230800E-011      5.427255E-001      6.985703E-006      5.013287E-004      8.919556E-008      2.406937E+000      1.939010E-006      3.068603E-006      6.226153E-008      6.843971E-001      5.182314E-005      3.061419E-004      3.083593E-003      1.446194E-001      3.288424E-004      5.383023E-004      4.271263E-007      1.875978E-003      1.709710E-001      5.096709E-004      0.000000E+000      8.247124E-002      4.966425E-005      1.631446E-002      2.587080E-005      1.420095E-002      1.304047E-007      1.719656E-004      1.295815E-005      3.027780E-003      6.446600E-004      7.834984E-002      7.944003E-006      5.647626E-004      9.100830E-007      2.547643E-006
  2.40000E+001  2.39754E+001  9.46471E+000  6.66978E+000  1.67402E+000  1.88420E+000        CCSN      9.376353E+000      3.407660E-004      7.679437E+000      1.391926E-010      4.074792E-011      5.482095E-001      7.737702E-006      5.902563E-004      8.255757E-008      3.059821E+000      1.748633E-006      2.077371E-006      5.853277E-008      8.616252E-001      6.593988E-005      2.873356E-004      3.758129E-003      1.831096E-001      4.054195E-004      7.173662E-004      5.133945E-007      2.450499E-003      1.700213E-001      6.191763E-004      0.000000E+000      7.870967E-002      4.854792E-005      1.552151E-002      2.223363E-005      1.391531E-002      1.233920E-007      1.618570E-004      1.031339E-005      2.819898E-003      5.438085E-004      7.768684E-002      8.930615E-006      6.245331E-004      2.001506E-006      5.538305E-006
  2.60000E+001  2.59692E+001  1.05385E+001  7.61930E+000  2.54692E+001  2.59692E+001         FSN      2.317105E-002      2.649618E-006      7.671200E-003      8.377228E-011      2.017595E-017      5.546936E-007      6.721714E-009      1.496482E-007      3.680152E-010      1.357220E-006      5.478386E-010      3.061026E-009      1.019571E-010      2.881682E-007      7.253262E-010      2.330789E-008      7.264990E-009      1.065108E-007      1.404592E-008      1.608314E-008      0.000000E+000      1.177245E-008      1.472937E-007      0.000000E+000      0.000000E+000      6.853685E-008      0.000000E+000      1.483173E-008      0.000000E+000      1.357346E-008      0.000000E+000      7.410451E-010      0.000000E+000      3.595703E-009      0.000000E+000      2.733396E-007      0.000000E+000      1.543041E-008      0.000000E+000      3.848496E-010
  2.80000E+001  2.79618E+001  1.16058E+001  8.61405E+000  2.74618E+001  2.79618E+001         FSN      2.872100E-002      3.284216E-006      9.508612E-003      1.038377E-010      2.774248E-017      6.875544E-007      8.331705E-009      1.854921E-007      4.561626E-010      1.682302E-006      6.790574E-010      3.794206E-009      1.263779E-010      3.571905E-007      8.990570E-010      2.889061E-008      9.005107E-009      1.320223E-007      1.741021E-008      1.993539E-008      0.000000E+000      1.459220E-008      1.825737E-007      0.000000E+000      0.000000E+000      8.495286E-008      0.000000E+000      1.838424E-008      0.000000E+000      1.682459E-008      0.000000E+000      9.185409E-010      0.000000E+000      4.456949E-009      0.000000E+000      3.388102E-007      0.000000E+000      1.912631E-008      0.000000E+000      4.770291E-010
  3.00000E+001  2.99532E+001  1.26524E+001  9.58111E+000  2.94532E+001  2.99532E+001         FSN      3.515968E-002      4.020441E-006      1.164025E-002      1.271280E-010      3.665875E-017      8.416904E-007      1.019951E-008      2.270757E-007      5.584252E-010      2.059441E-006      8.312886E-010      4.644792E-009      1.547094E-010      4.372655E-007      1.100608E-009      3.536731E-008      1.102387E-008      1.616191E-007      2.131324E-008      2.440451E-008      0.000000E+000      1.786349E-008      2.235030E-007      0.000000E+000      0.000000E+000      1.039976E-007      0.000000E+000      2.250562E-008      0.000000E+000      2.059633E-008      0.000000E+000      1.124460E-009      0.000000E+000      5.456108E-009      0.000000E+000      4.147647E-007      0.000000E+000      2.341405E-008      0.000000E+000      5.839696E-010
  3.50000E+001  3.49309E+001  1.55620E+001  1.21972E+001  3.44309E+001  3.49309E+001         FSN      5.190920E-002      5.935545E-006      1.718549E-002      1.867817E-010      6.499148E-017      1.242658E-006      1.505839E-008      3.352510E-007      8.244501E-010      3.040526E-006      1.227301E-009      6.857498E-009      2.284105E-010      6.455719E-007      1.624920E-009      5.221574E-008      1.627547E-008      2.386119E-007      3.146653E-008      3.603043E-008      5.810276E-038      2.637337E-008      3.299764E-007      0.000000E+000      0.000000E+000      1.535404E-007      0.000000E+000      3.322694E-008      0.000000E+000      3.040810E-008      0.000000E+000      1.660134E-009      0.000000E+000      8.055312E-009      0.000000E+000      6.123521E-007      0.000000E+000      3.456813E-008      0.000000E+000      8.621635E-010
