# Initial composition Z = 0.000001
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.514600E-001      2.248800E-005      2.484800E-001      2.720200E-009      1.084700E-014      1.798200E-007      2.179000E-009      4.851100E-008      1.193000E-010      4.399700E-007      1.775900E-010      9.922900E-010      3.305100E-011      9.341600E-008      2.351300E-010      7.555700E-009      2.355100E-009      3.452800E-008      4.553300E-009      5.213700E-009      0.000000E+000      3.816300E-009      4.774800E-008      2.236200E-009      4.281200E-010      2.221800E-008      5.372600E-010      4.808000E-009      2.414200E-010      4.400100E-009      3.187600E-012      2.402200E-010      2.440900E-011      1.165600E-009      6.463200E-010      8.860900E-008      2.349300E-010      5.002100E-009      4.939400E-011      1.247600E-010
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.39999E+001  4.53513E+000  2.79632E+000      7.656880E-005      8.688329E-009      2.536934E-005      2.602579E-013      1.823443E-020      1.818958E-011      2.230948E-013      5.290995E-012      1.206654E-014      4.464639E-011      2.005107E-014      1.004053E-013      3.350356E-015      9.504455E-012      2.467391E-014      7.655157E-013      2.447079E-013      3.516509E-012      4.623929E-013      5.311744E-013      5.620811E-018      3.891516E-013      4.900258E-012      0.000000E+000      0.000000E+000      2.265023E-012      0.000000E+000      4.901628E-013      0.000000E+000      4.485793E-013      0.000000E+000      2.449025E-014      0.000000E+000      1.188317E-013      0.000000E+000      9.033398E-012      0.000000E+000      5.099480E-013      0.000000E+000      1.271861E-014
  1.60000E+001  1.59998E+001  5.38378E+000  3.49866E+000      1.220334E-004      1.394704E-008      4.035282E-005      4.083489E-013      2.992735E-022      2.920024E-011      3.540388E-013      7.880234E-012      1.937215E-014      7.145124E-011      2.886368E-014      1.611415E-013      5.367540E-015      1.517071E-011      3.818507E-014      1.227037E-012      3.824832E-013      5.607297E-012      7.394523E-013      8.467025E-013      6.125374E-023      6.197650E-013      7.754329E-012      0.000000E+000      0.000000E+000      3.608146E-012      0.000000E+000      7.808215E-013      0.000000E+000      7.145798E-013      0.000000E+000      3.901258E-014      0.000000E+000      1.892970E-013      0.000000E+000      1.439006E-011      0.000000E+000      8.123391E-013      0.000000E+000      2.026054E-014
  1.80000E+001  1.79998E+001  6.30923E+000  4.31129E+000      1.806564E-004      2.064805E-008      5.973772E-005      5.870140E-013      6.243206E-022      4.323027E-011      5.238595E-013      1.166289E-011      2.868141E-014      1.057755E-010      4.269602E-014      2.385623E-013      7.946067E-015      2.245850E-011      5.652859E-014      1.816509E-012      5.661999E-013      8.300960E-012      1.094674E-012      1.253446E-012      0.000000E+000      9.174909E-013      1.147940E-011      0.000000E+000      0.000000E+000      5.341447E-012      0.000000E+000      1.155917E-012      0.000000E+000      1.057853E-012      0.000000E+000      5.775364E-014      0.000000E+000      2.802325E-013      0.000000E+000      2.130283E-011      0.000000E+000      1.202575E-012      0.000000E+000      2.999341E-014
  2.00000E+001  1.99997E+001  7.30426E+000  5.15243E+000      2.494011E-004      2.850449E-008      8.246955E-005      7.808181E-013      1.137642E-021      5.968057E-011      7.232023E-013      1.610094E-011      3.959547E-014      1.460259E-010      5.894302E-014      3.293418E-013      1.096976E-014      3.100457E-011      7.803926E-014      2.507741E-012      7.816544E-013      1.145970E-011      1.511228E-012      1.730416E-012      0.000000E+000      1.266621E-012      1.584762E-011      0.000000E+000      0.000000E+000      7.374013E-012      0.000000E+000      1.595775E-012      0.000000E+000      1.460395E-012      0.000000E+000      7.973048E-014      0.000000E+000      3.868687E-013      0.000000E+000      2.940914E-011      0.000000E+000      1.660187E-012      0.000000E+000      4.140672E-014
  2.20000E+001  2.19996E+001  8.38479E+000  6.07358E+000      3.282946E-004      3.752048E-008      1.085573E-004      9.842260E-013      1.804549E-021      7.855945E-011      9.519744E-013      2.119419E-011      5.212079E-014      1.922186E-010      7.758859E-014      4.335232E-013      1.443985E-014      4.081232E-011      1.027256E-013      3.301020E-012      1.028917E-012      1.508477E-011      1.989278E-012      2.277802E-012      0.000000E+000      1.667294E-012      2.086073E-011      0.000000E+000      0.000000E+000      9.706650E-012      0.000000E+000      2.100569E-012      0.000000E+000      1.922365E-012      0.000000E+000      1.049518E-013      0.000000E+000      5.092476E-013      0.000000E+000      3.871220E-011      0.000000E+000      2.185358E-012      0.000000E+000      5.450499E-014
  2.40000E+001  2.39995E+001  9.45793E+000  7.04564E+000      4.133136E-004      4.723603E-008      1.366706E-004      1.176673E-012      2.768632E-021      9.890410E-011      1.198509E-012      2.668287E-011      6.561859E-014      2.419977E-010      9.768182E-014      5.457933E-013      1.817936E-014      5.138154E-011      1.293286E-013      4.155890E-012      1.295377E-012      1.899130E-011      2.504444E-012      2.867688E-012      0.000000E+000      2.099076E-012      2.626306E-011      0.000000E+000      0.000000E+000      1.222040E-011      0.000000E+000      2.644557E-012      0.000000E+000      2.420203E-012      0.000000E+000      1.321313E-013      0.000000E+000      6.411282E-013      0.000000E+000      4.873756E-011      0.000000E+000      2.751303E-012      0.000000E+000      6.862023E-014
  2.60000E+001  2.59993E+001  1.05369E+001  8.05668E+000      5.053615E-004      5.775445E-008      1.671081E-004      1.367287E-012      3.996461E-021      1.209308E-010      1.465425E-012      3.262535E-011      8.023233E-014      2.958924E-010      1.194363E-013      6.673454E-013      2.222803E-014      6.282459E-011      1.581310E-013      5.081436E-012      1.583867E-012      2.322080E-011      3.062202E-012      3.506343E-012      0.000000E+000      2.566555E-012      3.211204E-011      0.000000E+000      0.000000E+000      1.494197E-011      0.000000E+000      3.233519E-012      0.000000E+000      2.959200E-012      0.000000E+000      1.615579E-013      0.000000E+000      7.839122E-013      0.000000E+000      5.959176E-011      0.000000E+000      3.364038E-012      0.000000E+000      8.390245E-014
  2.80000E+001  2.79992E+001  1.16270E+001  8.97867E+000      6.059629E-004      6.925002E-008      2.003740E-004      1.534626E-012      5.494667E-021      1.450042E-010      1.757145E-012      3.912001E-011      9.620402E-014      3.547951E-010      1.432122E-013      8.001926E-013      2.665293E-014      7.533095E-011      1.896098E-013      6.092988E-012      1.899164E-012      2.784332E-011      3.671788E-012      4.204344E-012      0.000000E+000      3.077475E-012      3.850452E-011      0.000000E+000      0.000000E+000      1.791643E-011      0.000000E+000      3.877209E-012      0.000000E+000      3.548282E-012      0.000000E+000      1.937189E-013      0.000000E+000      9.399640E-013      0.000000E+000      7.145458E-011      0.000000E+000      4.033711E-012      0.000000E+000      1.006047E-013
  3.00000E+001  2.99991E+001  1.27546E+001  1.00876E+001      7.089390E-004      8.101642E-008      2.344251E-004      1.674891E-012      7.264319E-021      1.696459E-010      2.055750E-012      4.576798E-011      1.125527E-013      4.150882E-010      1.675494E-013      9.361757E-013      3.118227E-014      8.813254E-011      2.218317E-013      7.128418E-012      2.221904E-012      3.257496E-011      4.295765E-012      4.918822E-012      2.726321E-042      3.600454E-012      4.504790E-011      0.000000E+000      0.000000E+000      2.096112E-011      0.000000E+000      4.536094E-012      0.000000E+000      4.151270E-012      0.000000E+000      2.266391E-013      0.000000E+000      1.099700E-012      0.000000E+000      8.359742E-011      0.000000E+000      4.719192E-012      0.000000E+000      1.177013E-013
  3.50000E+001  3.49987E+001  1.54366E+001  1.26937E+001      9.782418E-004      1.114131E-007      3.239205E-004      1.908567E-012      1.423515E-017      2.333854E-010      2.851988E-012      6.499909E-011      1.547798E-013      5.719071E-010      2.363628E-013      1.288110E-012      4.294551E-014      1.215152E-010      3.060455E-013      9.816348E-012      3.088419E-012      4.491797E-011      5.919361E-012      6.781074E-012      6.502590E-016      4.969686E-012      6.245263E-011      0.000000E+000      0.000000E+000      2.893349E-011      0.000000E+000      6.261358E-012      0.000000E+000      5.730169E-012      0.000000E+000      3.128393E-013      0.000000E+000      1.517961E-012      0.000000E+000      1.153930E-010      0.000000E+000      6.514095E-012      0.000000E+000      1.624680E-013
