# Initial composition Z = 0.000001
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.514600E-001      2.248800E-005      2.484800E-001      2.720200E-009      1.084700E-014      1.798200E-007      2.179000E-009      4.851100E-008      1.193000E-010      4.399700E-007      1.775900E-010      9.922900E-010      3.305100E-011      9.341600E-008      2.351300E-010      7.555700E-009      2.355100E-009      3.452800E-008      4.553300E-009      5.213700E-009      0.000000E+000      3.816300E-009      4.774800E-008      2.236200E-009      4.281200E-010      2.221800E-008      5.372600E-010      4.808000E-009      2.414200E-010      4.400100E-009      3.187600E-012      2.402200E-010      2.440900E-011      1.165600E-009      6.463200E-010      8.860900E-008      2.349300E-010      5.002100E-009      4.939400E-011      1.247600E-010
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.39999E+001  4.53513E+000  2.79632E+000  1.49496E+000  1.66258E+000        CCSN      6.437260E+000      1.493956E-004      4.650354E+000      1.434667E-012      2.113197E-013      2.022728E-001      3.943294E-007      6.639471E-005      6.735796E-009      5.939329E-001      2.277712E-007      5.900194E-006      4.421784E-009      1.088350E-001      9.301141E-006      8.965278E-005      4.184192E-004      7.129521E-002      2.375087E-004      3.681597E-004      5.306287E-011      9.080895E-004      1.133435E-001      6.651739E-004      0.000000E+000      4.886486E-002      5.451591E-005      8.921613E-003      1.899961E-005      7.522710E-003      7.054947E-008      1.512978E-004      8.174591E-006      1.742887E-003      3.934455E-004      7.849324E-002      2.005802E-005      1.926351E-003      1.308672E-005      5.030075E-005
  1.60000E+001  1.59998E+001  5.38378E+000  3.49866E+000  1.45677E+000  1.61593E+000        CCSN      7.316992E+000      1.401824E-004      5.037470E+000      8.434255E-013      1.569368E-012      2.499041E-001      2.970681E-007      4.467752E-005      8.319732E-009      1.049123E+000      4.484589E-007      5.413275E-006      1.162743E-008      3.302252E-001      2.114074E-005      1.413866E-004      1.234120E-003      1.286196E-001      4.786125E-004      8.306619E-004      6.411315E-010      2.108408E-003      1.120282E-001      7.019817E-004      0.000000E+000      4.644506E-002      4.376935E-005      8.657877E-003      1.732589E-005      7.547083E-003      6.961901E-008      1.518296E-004      1.026289E-005      1.716379E-003      4.775941E-004      7.954736E-002      5.018327E-005      2.491024E-003      7.144693E-006      3.890751E-005
  1.80000E+001  1.79998E+001  6.30923E+000  4.31129E+000  1.47385E+000  1.63677E+000        CCSN      7.762451E+000      1.634502E-004      5.744222E+000      5.789490E-012      1.812873E-011      3.218574E-001      3.248452E-007      4.252043E-005      1.449318E-008      1.551884E+000      6.403523E-007      5.017795E-006      1.734536E-008      5.225197E-001      3.339471E-005      1.888128E-004      2.034177E-003      1.652510E-001      5.947237E-004      1.052655E-003      5.178254E-009      2.776941E-003      1.214210E-001      6.896990E-004      0.000000E+000      5.116067E-002      3.778466E-005      9.773941E-003      1.632804E-005      8.627082E-003      7.825939E-008      1.450937E-004      1.180355E-005      1.867039E-003      5.434679E-004      8.006967E-002      5.310355E-005      3.021234E-003      1.160620E-005      5.327818E-005
  2.00000E+001  1.99997E+001  7.30426E+000  5.15243E+000  1.59556E+000  1.78649E+000        CCSN      8.498549E+000      1.695821E-004      6.156195E+000      6.375113E-011      4.714238E-011      4.227758E-001      2.611051E-007      5.680443E-005      3.300655E-008      2.029924E+000      1.084320E-006      3.164153E-006      2.272145E-008      6.121720E-001      4.363073E-005      2.146389E-004      2.617029E-003      1.523016E-001      4.362079E-004      7.468544E-004      4.618854E-009      2.233822E-003      1.299619E-001      5.817000E-004      0.000000E+000      5.661824E-002      4.333438E-005      1.090418E-002      1.975649E-005      9.549629E-003      9.224165E-008      1.771041E-004      8.555195E-006      2.062552E-003      4.245494E-004      1.102538E-001      1.418800E-005      2.774236E-003      2.917784E-005      1.114659E-004
  2.20000E+001  2.19996E+001  8.38479E+000  6.07358E+000  1.67944E+000  1.89098E+000        CCSN      8.990281E+000      1.753376E-004      6.696249E+000      6.327159E-011      4.480968E-011      5.318777E-001      7.160959E-005      1.839266E-004      4.526600E-008      2.612950E+000      1.500671E-006      2.193708E-006      3.520549E-008      7.405813E-001      5.610972E-005      2.762177E-004      3.277342E-003      1.567890E-001      3.493957E-004      5.905003E-004      5.588445E-009      2.048655E-003      1.706014E-001      5.443791E-004      0.000000E+000      8.124495E-002      4.929255E-005      1.605579E-002      2.470089E-005      1.410403E-002      1.280616E-007      1.683661E-004      1.211715E-005      2.959455E-003      6.125873E-004      7.800049E-002      8.146955E-006      5.798950E-004      1.268302E-006      3.283022E-006
  2.40000E+001  2.39995E+001  9.45793E+000  7.04564E+000  1.67061E+000  1.87993E+000        CCSN      9.597427E+000      1.820479E-004      7.107355E+000      6.352345E-011      3.986700E-011      5.495222E-001      2.471894E-006      4.309564E-004      3.753593E-008      3.340293E+000      1.624485E-006      1.088070E-006      3.517642E-008      9.377430E-001      7.183229E-005      2.712998E-004      4.025129E-003      1.996028E-001      4.347197E-004      7.898735E-004      3.283712E-009      2.686497E-003      1.695390E-001      6.662071E-004      0.000000E+000      7.705767E-002      4.809113E-005      1.517307E-002      2.061830E-005      1.378567E-002      1.202849E-007      1.570237E-004      9.174869E-006      2.733423E-003      5.003994E-004      7.730714E-002      9.631381E-006      6.305749E-004      2.128430E-006      6.145673E-006
  2.60000E+001  2.59993E+001  1.05369E+001  8.05668E+000  2.54993E+001  2.59993E+001         FSN      5.053615E-004      5.775445E-008      1.671081E-004      1.367287E-012      3.996461E-021      1.209308E-010      1.465425E-012      3.262535E-011      8.023233E-014      2.958924E-010      1.194363E-013      6.673454E-013      2.222803E-014      6.282459E-011      1.581310E-013      5.081436E-012      1.583867E-012      2.322080E-011      3.062202E-012      3.506343E-012      0.000000E+000      2.566555E-012      3.211204E-011      0.000000E+000      0.000000E+000      1.494197E-011      0.000000E+000      3.233519E-012      0.000000E+000      2.959200E-012      0.000000E+000      1.615579E-013      0.000000E+000      7.839122E-013      0.000000E+000      5.959176E-011      0.000000E+000      3.364038E-012      0.000000E+000      8.390245E-014
  2.80000E+001  2.79992E+001  1.16270E+001  8.97867E+000  2.74992E+001  2.79992E+001         FSN      6.059629E-004      6.925002E-008      2.003740E-004      1.534626E-012      5.494667E-021      1.450042E-010      1.757145E-012      3.912001E-011      9.620402E-014      3.547951E-010      1.432122E-013      8.001926E-013      2.665293E-014      7.533095E-011      1.896098E-013      6.092988E-012      1.899164E-012      2.784332E-011      3.671788E-012      4.204344E-012      0.000000E+000      3.077475E-012      3.850452E-011      0.000000E+000      0.000000E+000      1.791643E-011      0.000000E+000      3.877209E-012      0.000000E+000      3.548282E-012      0.000000E+000      1.937189E-013      0.000000E+000      9.399640E-013      0.000000E+000      7.145458E-011      0.000000E+000      4.033711E-012      0.000000E+000      1.006047E-013
  3.00000E+001  2.99991E+001  1.27546E+001  1.00876E+001  2.94991E+001  2.99991E+001         FSN      7.089390E-004      8.101642E-008      2.344251E-004      1.674891E-012      7.264319E-021      1.696459E-010      2.055750E-012      4.576798E-011      1.125527E-013      4.150882E-010      1.675494E-013      9.361757E-013      3.118227E-014      8.813254E-011      2.218317E-013      7.128418E-012      2.221904E-012      3.257496E-011      4.295765E-012      4.918822E-012      2.726321E-042      3.600454E-012      4.504790E-011      0.000000E+000      0.000000E+000      2.096112E-011      0.000000E+000      4.536094E-012      0.000000E+000      4.151270E-012      0.000000E+000      2.266391E-013      0.000000E+000      1.099700E-012      0.000000E+000      8.359742E-011      0.000000E+000      4.719192E-012      0.000000E+000      1.177013E-013
  3.50000E+001  3.49987E+001  1.54366E+001  1.26937E+001  3.44987E+001  3.49987E+001         FSN      9.782418E-004      1.114131E-007      3.239205E-004      1.908567E-012      1.423515E-017      2.333854E-010      2.851988E-012      6.499909E-011      1.547798E-013      5.719071E-010      2.363628E-013      1.288110E-012      4.294551E-014      1.215152E-010      3.060455E-013      9.816348E-012      3.088419E-012      4.491797E-011      5.919361E-012      6.781074E-012      6.502590E-016      4.969686E-012      6.245263E-011      0.000000E+000      0.000000E+000      2.893349E-011      0.000000E+000      6.261358E-012      0.000000E+000      5.730169E-012      0.000000E+000      3.128393E-013      0.000000E+000      1.517961E-012      0.000000E+000      1.153930E-010      0.000000E+000      6.514095E-012      0.000000E+000      1.624680E-013
  4.00000E+001  3.99982E+001  1.81536E+001  1.52504E+001  3.94982E+001  3.99982E+001         FSN      1.331325E-003      1.490814E-007      4.444944E-004      2.030064E-012      6.163381E-018      3.128157E-010      3.984872E-012      1.022831E-010      2.071332E-013      7.715421E-010      3.438039E-013      1.727619E-012      5.785856E-014      1.645770E-010      4.141609E-013      1.321847E-011      4.290800E-012      6.084335E-011      7.989481E-012      9.191959E-012      1.054925E-014      6.745702E-012      8.754759E-011      0.000000E+000      0.000000E+000      3.945832E-011      0.000000E+000      8.538986E-012      0.000000E+000      7.814572E-012      0.000000E+000      4.266376E-013      0.000000E+000      2.070133E-012      0.000000E+000      1.573682E-010      0.000000E+000      8.883658E-012      0.000000E+000      2.215672E-013
  5.00000E+001  4.99964E+001  2.29623E+001  2.10425E+001  4.94964E+001  4.99964E+001         FSN      2.608768E-003      2.354970E-007      9.850438E-004      1.960877E-012      5.862000E-013      5.039824E-010      9.435085E-012      5.386547E-010      3.298680E-013      1.353639E-009      1.154797E-012      2.796886E-012      9.838457E-014      3.011847E-010      7.783422E-013      2.234234E-011      9.815011E-012      1.113614E-010      1.429114E-011      1.712965E-011      8.022099E-014      1.232510E-011      2.449596E-010      0.000000E+000      0.000000E+000      7.986584E-011      0.000000E+000      1.728337E-011      0.000000E+000      1.581713E-011      0.000000E+000      8.635383E-013      0.000000E+000      4.190067E-012      0.000000E+000      3.185221E-010      0.000000E+000      1.798102E-011      0.000000E+000      4.484645E-013
