# Initial composition Z = 0.017
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.039800E-001      2.524800E-005      2.789700E-001      1.088100E-008      1.844000E-010      3.056900E-003      3.704300E-005      8.247000E-004      2.028100E-006      7.479500E-003      3.019100E-006      1.686900E-005      5.618700E-007      1.588100E-003      3.997200E-006      1.284500E-004      4.003700E-005      5.869700E-004      7.740600E-005      8.863200E-005      0.000000E+000      6.487700E-005      8.117200E-004      3.801500E-005      7.278100E-006      3.777000E-004      9.133400E-006      8.173600E-005      4.104100E-006      7.480200E-005      5.418900E-008      4.083800E-006      4.149500E-007      1.981600E-005      1.098700E-005      1.506300E-003      3.993800E-006      8.503500E-005      8.396900E-007      2.120900E-006
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.32357E+001  4.61115E+000  2.69079E+000  1.47692E+000  1.64052E+000        CCSN      6.301842E+000      2.733533E-004      4.654772E+000      1.451766E-009      1.017496E-013      2.075157E-001      1.139722E-003      4.785635E-002      8.444226E-006      6.051811E-001      4.842389E-005      3.355748E-003      4.684899E-006      1.184781E-001      1.659801E-004      1.200118E-002      3.105653E-003      5.189974E-002      4.087527E-003      5.748696E-003      5.846401E-007      4.176626E-003      1.324614E-001      3.113229E-003      0.000000E+000      6.415698E-002      2.000552E-004      1.132309E-002      7.947436E-005      8.373094E-003      2.384733E-006      1.975192E-004      2.840371E-005      2.279228E-003      1.167924E-003      1.035572E-001      2.396573E-004      5.603260E-003      5.299112E-005      6.051127E-005
  1.60000E+001  1.43814E+001  5.48160E+000  3.37482E+000  1.47725E+000  1.64092E+000        CCSN      7.221908E+000      3.400605E-004      5.018373E+000      1.766466E-009      2.553453E-013      2.613192E-001      1.296610E-003      4.330319E-002      1.167582E-005      9.729197E-001      5.983628E-005      4.036547E-003      6.503191E-006      3.173043E-001      3.040747E-004      1.916836E-002      7.540143E-003      9.258132E-002      9.902510E-003      1.106250E-002      6.478541E-006      1.066849E-002      1.454741E-001      3.935476E-003      0.000000E+000      6.706428E-002      2.326991E-004      1.165380E-002      9.127100E-005      8.574503E-003      3.898075E-006      2.018185E-004      2.901988E-005      2.222694E-003      1.149475E-003      1.065081E-001      3.658435E-004      6.139254E-003      1.069724E-004      9.064254E-005
  1.80000E+001  1.59452E+001  6.27056E+000  3.99967E+000  1.47755E+000  1.64128E+000        CCSN      7.916379E+000      4.996979E-004      5.667501E+000      2.018998E-009      6.047758E-013      3.168071E-001      7.089856E-004      3.709546E-002      1.968766E-005      1.308710E+000      5.754354E-005      4.936800E-003      8.497407E-006      4.992219E-001      4.149341E-004      2.679805E-002      1.161101E-002      1.298479E-001      1.522760E-002      1.593779E-002      6.595253E-006      1.660884E-002      1.574433E-001      4.685951E-003      0.000000E+000      6.975091E-002      2.621949E-004      1.197231E-002      1.019038E-004      8.772759E-003      5.275886E-006      2.014114E-004      2.966957E-005      2.188052E-003      1.145691E-003      1.098260E-001      4.783524E-004      6.573302E-003      1.565201E-004      1.160729E-004
  2.00000E+001  1.80055E+001  7.12603E+000  4.85258E+000  1.54753E+000  1.72715E+000        CCSN      8.171991E+000      3.625260E-004      6.491331E+000      2.201427E-009      1.759721E-011      4.245953E-001      1.170436E-003      6.187011E-002      1.387875E-005      1.807179E+000      6.355520E-005      3.453460E-003      8.568596E-006      6.052432E-001      6.167631E-004      2.749881E-002      1.697396E-002      1.327087E-001      1.824035E-002      2.158336E-002      4.532314E-006      2.233158E-002      1.942201E-001      5.164816E-003      0.000000E+000      9.415292E-002      4.136005E-004      1.714459E-002      2.103257E-004      1.177001E-002      9.260889E-006      2.757810E-004      3.223403E-005      2.186642E-003      1.118175E-003      1.129730E-001      6.686778E-004      7.394479E-003      2.840985E-004      1.983936E-004
  2.20000E+001  1.89937E+001  8.10150E+000  5.61026E+000  1.61655E+000  1.81254E+000        CCSN      8.665821E+000      3.852587E-004      7.135363E+000      2.379888E-009      4.702940E-012      5.620749E-001      9.240355E-004      6.189286E-002      1.488925E-005      2.267476E+000      7.164815E-005      3.181918E-003      1.301265E-005      6.847334E-001      7.588810E-004      4.163200E-002      2.152822E-002      1.303501E-001      2.056502E-002      2.642800E-002      6.230453E-006      2.717967E-002      2.269424E-001      5.542080E-003      0.000000E+000      1.178300E-001      5.579460E-004      2.256035E-002      3.074490E-004      1.544773E-002      1.307008E-005      3.011783E-004      3.850868E-005      2.866658E-003      1.467956E-003      1.239253E-001      7.639515E-004      6.728858E-003      4.022396E-004      2.483139E-004
  2.40000E+001  1.96020E+001  9.15193E+000  6.43799E+000  1.61965E+000  1.81640E+000        CCSN      9.123967E+000      3.676523E-004      7.831884E+000      2.569680E-009      5.701304E-013      5.908275E-001      1.106203E-003      7.187941E-002      1.156398E-005      2.830712E+000      7.496041E-005      2.320938E-003      1.382271E-005      8.833062E-001      8.429017E-004      4.197996E-002      2.712073E-002      1.585246E-001      2.354283E-002      3.372363E-002      7.626027E-006      3.609892E-002      2.268154E-001      6.270982E-003      0.000000E+000      1.149121E-001      5.798192E-004      2.175689E-002      2.846103E-004      1.524859E-002      1.498418E-005      3.131874E-004      3.902470E-005      2.969775E-003      1.476856E-003      1.167721E-001      8.470913E-004      6.486018E-003      4.937547E-004      3.464076E-004
  2.60000E+001  1.99933E+001  1.01978E+001  7.32802E+000  1.94933E+001  1.99933E+001         FSN      4.084974E+000      2.765724E-004      1.819402E+000      2.776278E-009      7.250858E-013      1.605924E-002      4.252480E-004      1.033533E-002      8.053153E-006      4.162792E-002      1.847132E-005      8.924322E-005      3.101936E-006      9.526040E-003      3.042412E-005      7.116241E-004      3.131732E-004      3.526408E-003      4.352923E-004      5.609814E-004      3.128429E-007      3.919279E-004      4.876643E-003      0.000000E+000      0.000000E+000      2.269131E-003      0.000000E+000      4.910516E-004      0.000000E+000      4.493928E-004      0.000000E+000      2.453466E-005      0.000000E+000      1.190472E-004      0.000000E+000      9.049779E-003      0.000000E+000      5.108727E-004      0.000000E+000      1.274167E-005
  2.80000E+001  2.02741E+001  1.13181E+001  8.31647E+000  1.97741E+001  2.02741E+001         FSN      5.189304E+000      3.147889E-004      2.405077E+000      2.995317E-009      9.357795E-013      1.954987E-002      7.632451E-004      1.623126E-002      7.713211E-006      5.140782E-002      2.282615E-005      1.101499E-004      3.807633E-006      1.224579E-002      4.227141E-005      8.727946E-004      4.523946E-004      4.535979E-003      5.424166E-004      7.383981E-004      6.386548E-007      5.052921E-004      6.272757E-003      0.000000E+000      0.000000E+000      2.918747E-003      0.000000E+000      6.316319E-004      0.000000E+000      5.780468E-004      0.000000E+000      3.155855E-005      0.000000E+000      1.531285E-004      0.000000E+000      1.164059E-002      0.000000E+000      6.571275E-004      0.000000E+000      1.638941E-005
  3.00000E+001  1.82575E+001  1.21957E+001  9.15006E+000  1.77575E+001  1.82575E+001         FSN      7.572669E+000      4.504744E-004      3.969973E+000      3.208825E-009      1.035471E-012      2.619647E-002      7.392972E-004      3.433310E-002      1.368717E-005      7.234641E-002      3.687365E-005      1.440061E-004      5.271101E-006      1.858094E-002      7.092535E-005      1.228404E-003      8.232281E-004      6.895550E-003      7.672587E-004      1.174467E-003      2.249583E-006      7.746133E-004      9.535712E-003      0.000000E+000      0.000000E+000      4.436998E-003      0.000000E+000      9.601891E-004      0.000000E+000      8.787305E-004      0.000000E+000      4.797442E-005      0.000000E+000      2.327817E-004      0.000000E+000      1.769570E-002      0.000000E+000      9.989467E-004      0.000000E+000      2.491473E-005
  3.50000E+001  1.44549E+001  1.44549E+001  1.11048E+001  1.39549E+001  1.44549E+001         FSN      1.164671E+001      5.421395E-004      8.550548E+000      3.881111E-009      7.162001E-011      3.330920E-002      1.513931E-003      1.027028E-001      1.696524E-005      9.461069E-002      5.613635E-005      1.845573E-004      6.735495E-006      3.232814E-002      1.458534E-004      1.587221E-003      2.243324E-003      1.207214E-002      1.044412E-003      2.295938E-003      2.120126E-005      1.411588E-003      1.669366E-002      0.000000E+000      0.000000E+000      7.767454E-003      0.000000E+000      1.680917E-003      0.000000E+000      1.538315E-003      0.000000E+000      8.398450E-005      0.000000E+000      4.075100E-004      0.000000E+000      3.097827E-002      0.000000E+000      1.748766E-003      0.000000E+000      4.361597E-005
