# Initial composition Z = 0.017
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.039800E-001      2.524800E-005      2.789700E-001      1.088100E-008      1.844000E-010      3.056900E-003      3.704300E-005      8.247000E-004      2.028100E-006      7.479500E-003      3.019100E-006      1.686900E-005      5.618700E-007      1.588100E-003      3.997200E-006      1.284500E-004      4.003700E-005      5.869700E-004      7.740600E-005      8.863200E-005      0.000000E+000      6.487700E-005      8.117200E-004      3.801500E-005      7.278100E-006      3.777000E-004      9.133400E-006      8.173600E-005      4.104100E-006      7.480200E-005      5.418900E-008      4.083800E-006      4.149500E-007      1.981600E-005      1.098700E-005      1.506300E-003      3.993800E-006      8.503500E-005      8.396900E-007      2.120900E-006
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.32357E+001  4.61115E+000  2.69079E+000      5.135043E-001      2.748978E-005      2.377312E-001      1.450219E-009      8.606576E-014      1.500665E-003      7.375819E-005      2.258880E-003      8.290026E-007      4.920011E-003      2.934688E-006      9.210279E-006      3.630360E-007      1.212157E-003      5.007968E-006      8.233466E-005      4.720029E-005      4.487236E-004      5.324139E-005      7.378707E-005      3.750272E-009      4.973470E-005      6.205372E-004      0.000000E+000      0.000000E+000      2.887401E-004      0.000000E+000      6.248485E-005      0.000000E+000      5.718388E-005      0.000000E+000      3.121962E-006      0.000000E+000      1.514840E-005      0.000000E+000      1.151558E-003      0.000000E+000      6.500702E-005      0.000000E+000      1.621340E-006
  1.60000E+001  1.43814E+001  5.48160E+000  3.37482E+000      1.079679E+000      5.928584E-005      5.113361E-001      1.760054E-009      2.551093E-013      3.430317E-003      1.655468E-004      4.428533E-003      1.779870E-006      1.047843E-002      5.998576E-006      2.001709E-005      7.782660E-007      2.566309E-003      1.112943E-005      1.769858E-004      9.771325E-005      9.503513E-004      1.119754E-004      1.569328E-004      3.232177E-008      1.054671E-004      1.314234E-003      0.000000E+000      0.000000E+000      6.115212E-004      0.000000E+000      1.323363E-004      0.000000E+000      1.211094E-004      0.000000E+000      6.611988E-006      0.000000E+000      3.208271E-005      0.000000E+000      2.438877E-003      0.000000E+000      1.376780E-004      0.000000E+000      3.433828E-006
  1.80000E+001  1.59452E+001  6.27056E+000  3.99967E+000      1.396837E+000      9.906732E-005      6.228844E-001      2.014355E-009      6.036114E-013      5.360931E-003      8.949412E-005      3.847027E-003      3.357500E-006      1.412907E-002      6.978151E-006      2.962703E-005      1.051720E-006      3.259326E-003      1.175793E-005      2.404729E-004      1.079347E-004      1.206294E-003      1.485088E-004      1.926517E-004      5.333154E-008      1.337718E-004      1.668177E-003      0.000000E+000      0.000000E+000      7.762138E-004      0.000000E+000      1.679767E-004      0.000000E+000      1.537262E-004      0.000000E+000      8.392704E-006      0.000000E+000      4.072311E-005      0.000000E+000      3.095707E-003      0.000000E+000      1.747570E-004      0.000000E+000      4.358612E-006
  2.00000E+001  1.80055E+001  7.12603E+000  4.85258E+000      1.297856E+000      7.332004E-005      6.626867E-001      2.166583E-009      2.766029E-012      4.242786E-003      1.488719E-004      6.018862E-003      2.385636E-006      1.232040E-002      6.918177E-006      2.380643E-005      9.010931E-007      3.158899E-003      1.488036E-005      2.069587E-004      1.350716E-004      1.171183E-003      1.319773E-004      1.989670E-004      1.564678E-007      1.305561E-004      1.619613E-003      0.000000E+000      0.000000E+000      7.536143E-004      0.000000E+000      1.630860E-004      0.000000E+000      1.492504E-004      0.000000E+000      8.148350E-006      0.000000E+000      3.953746E-005      0.000000E+000      3.005575E-003      0.000000E+000      1.696689E-004      0.000000E+000      4.231712E-006
  2.20000E+001  1.89937E+001  8.10150E+000  5.61026E+000      1.973420E+000      1.172899E-004      9.816992E-001      2.358486E-009      1.283848E-012      6.750729E-003      1.954899E-004      8.198210E-003      3.735385E-006      1.912783E-002      1.011518E-005      3.739055E-005      1.408591E-006      4.762231E-003      2.014620E-005      3.241714E-004      1.921446E-004      1.765258E-003      2.030990E-004      2.954422E-004      2.863332E-007      1.968368E-004      2.441151E-003      0.000000E+000      0.000000E+000      1.135880E-003      0.000000E+000      2.458103E-004      0.000000E+000      2.249568E-004      0.000000E+000      1.228155E-005      0.000000E+000      5.959258E-005      0.000000E+000      4.530134E-003      0.000000E+000      2.557323E-004      0.000000E+000      6.378220E-006
  2.40000E+001  1.96020E+001  9.15193E+000  6.43799E+000      2.981448E+000      1.864101E-004      1.341565E+000      2.566841E-009      5.346054E-013      1.135250E-002      3.808442E-004      8.168947E-003      4.741918E-006      3.025047E-002      1.384028E-005      6.330396E-005      2.257014E-006      6.974264E-003      2.353819E-005      5.170186E-004      2.327729E-004      2.581985E-003      3.166269E-004      4.129660E-004      2.285035E-007      2.869103E-004      3.570606E-003      0.000000E+000      0.000000E+000      1.661425E-003      0.000000E+000      3.595408E-004      0.000000E+000      3.290388E-004      0.000000E+000      1.796392E-005      0.000000E+000      8.716463E-005      0.000000E+000      6.626117E-003      0.000000E+000      3.740535E-004      0.000000E+000      9.329268E-006
  2.60000E+001  1.99933E+001  1.01978E+001  7.32802E+000      4.084974E+000      2.765724E-004      1.819402E+000      2.776278E-009      7.250858E-013      1.605924E-002      4.252480E-004      1.033533E-002      8.053153E-006      4.162792E-002      1.847132E-005      8.924322E-005      3.101936E-006      9.526040E-003      3.042412E-005      7.116241E-004      3.131732E-004      3.526408E-003      4.352923E-004      5.609814E-004      3.128429E-007      3.919279E-004      4.876643E-003      0.000000E+000      0.000000E+000      2.269131E-003      0.000000E+000      4.910516E-004      0.000000E+000      4.493928E-004      0.000000E+000      2.453466E-005      0.000000E+000      1.190472E-004      0.000000E+000      9.049779E-003      0.000000E+000      5.108727E-004      0.000000E+000      1.274167E-005
  2.80000E+001  2.02741E+001  1.13181E+001  8.31647E+000      5.189304E+000      3.147889E-004      2.405077E+000      2.995317E-009      9.357795E-013      1.954987E-002      7.632451E-004      1.623126E-002      7.713211E-006      5.140782E-002      2.282615E-005      1.101499E-004      3.807633E-006      1.224579E-002      4.227141E-005      8.727946E-004      4.523946E-004      4.535979E-003      5.424166E-004      7.383981E-004      6.386548E-007      5.052921E-004      6.272757E-003      0.000000E+000      0.000000E+000      2.918747E-003      0.000000E+000      6.316319E-004      0.000000E+000      5.780468E-004      0.000000E+000      3.155855E-005      0.000000E+000      1.531285E-004      0.000000E+000      1.164059E-002      0.000000E+000      6.571275E-004      0.000000E+000      1.638941E-005
  3.00000E+001  1.82575E+001  1.21957E+001  9.15006E+000      7.572669E+000      4.504744E-004      3.969973E+000      3.208825E-009      1.035471E-012      2.619647E-002      7.392972E-004      3.433310E-002      1.368717E-005      7.234641E-002      3.687365E-005      1.440061E-004      5.271101E-006      1.858094E-002      7.092535E-005      1.228404E-003      8.232281E-004      6.895550E-003      7.672587E-004      1.174467E-003      2.249583E-006      7.746133E-004      9.535712E-003      0.000000E+000      0.000000E+000      4.436998E-003      0.000000E+000      9.601891E-004      0.000000E+000      8.787305E-004      0.000000E+000      4.797442E-005      0.000000E+000      2.327817E-004      0.000000E+000      1.769570E-002      0.000000E+000      9.989467E-004      0.000000E+000      2.491473E-005
  3.50000E+001  1.44549E+001  1.44549E+001  1.11048E+001      1.164671E+001      5.421395E-004      8.550548E+000      3.881111E-009      7.162001E-011      3.330920E-002      1.513931E-003      1.027028E-001      1.696524E-005      9.461069E-002      5.613635E-005      1.845573E-004      6.735495E-006      3.232814E-002      1.458534E-004      1.587221E-003      2.243324E-003      1.207214E-002      1.044412E-003      2.295938E-003      2.120126E-005      1.411588E-003      1.669366E-002      0.000000E+000      0.000000E+000      7.767454E-003      0.000000E+000      1.680917E-003      0.000000E+000      1.538315E-003      0.000000E+000      8.398450E-005      0.000000E+000      4.075100E-004      0.000000E+000      3.097827E-002      0.000000E+000      1.748766E-003      0.000000E+000      4.361597E-005
