# Initial composition Z = 0.008
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.289700E-001      2.380000E-005      2.629800E-001      6.800500E-009      8.677500E-011      1.438500E-003      1.743200E-005      3.880900E-004      9.544000E-007      3.519800E-003      1.420700E-006      7.938300E-006      2.644100E-007      7.473200E-004      1.881000E-006      6.044600E-005      1.884100E-005      2.762200E-004      3.642600E-005      4.170900E-005      0.000000E+000      3.053000E-005      3.819900E-004      1.788900E-005      3.425000E-006      1.777400E-004      4.298100E-006      3.846400E-005      1.931300E-006      3.520100E-005      2.550100E-008      1.921800E-006      1.952700E-007      9.325000E-006      5.170500E-006      7.088700E-004      1.879400E-006      4.001700E-005      3.951500E-007      9.980500E-007
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.36480E+001  4.78207E+000  2.73723E+000      2.441015E-001      1.535428E-005      1.050199E-001      4.119762E-010      1.895766E-014      3.167722E-004      1.543123E-005      5.174696E-004      1.693081E-007      1.046261E-003      7.015304E-007      1.917891E-006      7.787457E-008      2.621111E-004      1.485626E-006      1.760850E-005      1.070045E-005      9.724491E-005      1.106071E-005      1.641889E-005      2.208161E-009      1.084620E-005      1.344785E-004      0.000000E+000      0.000000E+000      6.257355E-005      0.000000E+000      1.354124E-005      0.000000E+000      1.239246E-005      0.000000E+000      6.765679E-007      0.000000E+000      3.282846E-006      0.000000E+000      2.495567E-004      0.000000E+000      1.408783E-005      0.000000E+000      3.513644E-007
  1.60000E+001  1.55122E+001  5.64398E+000  3.34529E+000      3.247739E-001      1.804609E-005      1.591351E-001      7.676916E-010      4.143034E-014      3.707662E-004      1.702517E-005      9.222288E-004      2.181485E-007      1.313438E-003      9.381980E-007      2.237226E-006      9.710534E-008      3.621081E-004      2.464345E-006      2.204116E-005      1.832226E-005      1.348162E-004      1.395704E-005      2.401338E-005      4.255325E-009      1.521928E-005      1.864330E-004      0.000000E+000      0.000000E+000      8.674765E-005      0.000000E+000      1.877263E-005      0.000000E+000      1.718004E-005      0.000000E+000      9.379469E-007      0.000000E+000      4.551110E-006      0.000000E+000      3.459681E-004      0.000000E+000      1.953038E-005      0.000000E+000      4.871072E-007
  1.80000E+001  1.72427E+001  6.47514E+000  4.04354E+000      5.167600E-001      3.518471E-005      2.344506E-001      1.118478E-009      6.698112E-014      7.553280E-004      3.470395E-005      1.028960E-003      4.072779E-007      2.247936E-003      1.228482E-006      4.389065E-006      1.662777E-007      5.629511E-004      2.694945E-006      3.818285E-005      2.450609E-005      2.092607E-004      2.355506E-005      3.534707E-005      6.356541E-009      2.358303E-005      2.893807E-004      0.000000E+000      0.000000E+000      1.346496E-004      0.000000E+000      2.913886E-005      0.000000E+000      2.666684E-005      0.000000E+000      1.455880E-006      0.000000E+000      7.064227E-006      0.000000E+000      5.370113E-004      0.000000E+000      3.031504E-005      0.000000E+000      7.560872E-007
  2.00000E+001  1.77936E+001  7.44527E+000  4.85929E+000      1.602576E+000      1.298638E-004      5.859984E-001      1.250160E-009      5.291400E-014      2.894329E-003      1.442326E-004      1.128899E-003      1.370785E-006      7.698660E-003      3.192324E-006      1.690504E-005      5.781390E-007      1.648372E-003      4.314556E-006      1.321157E-004      4.332720E-005      6.094628E-004      7.971987E-005      9.262028E-005      1.744391E-009      6.744907E-005      8.428247E-004      0.000000E+000      0.000000E+000      3.921722E-004      0.000000E+000      8.486810E-005      0.000000E+000      7.766822E-005      0.000000E+000      4.240308E-006      0.000000E+000      2.057485E-005      0.000000E+000      1.564067E-003      0.000000E+000      8.829376E-005      0.000000E+000      2.202134E-006
  2.20000E+001  1.93344E+001  8.39840E+000  5.72050E+000      1.935335E+000      1.797049E-004      7.087170E-001      1.332236E-009      7.986546E-014      3.709959E-003      8.931558E-005      1.211706E-003      2.013582E-006      9.294206E-003      3.817411E-006      2.075291E-005      6.973915E-007      1.991320E-003      5.189560E-006      1.595207E-004      5.258322E-005      7.363016E-004      9.623773E-005      1.119428E-004      3.336318E-009      8.151487E-005      1.018230E-003      0.000000E+000      0.000000E+000      4.737894E-004      0.000000E+000      1.025305E-004      0.000000E+000      9.383219E-005      0.000000E+000      5.122783E-006      0.000000E+000      2.485679E-005      0.000000E+000      1.889574E-003      0.000000E+000      1.066691E-004      0.000000E+000      2.660433E-006
  2.40000E+001  1.99306E+001  9.31666E+000  6.46284E+000      2.952567E+000      2.881510E-004      1.083955E+000      1.418100E-009      1.120151E-013      5.728578E-003      9.478139E-005      1.839290E-003      3.475770E-006      1.416542E-002      5.805103E-006      3.172091E-005      1.061344E-006      3.039793E-003      7.873421E-006      2.430211E-004      8.115642E-005      1.124075E-003      1.467291E-004      1.710042E-004      2.568748E-008      1.245186E-004      1.554480E-003      0.000000E+000      0.000000E+000      7.233103E-004      0.000000E+000      1.565280E-004      0.000000E+000      1.432488E-004      0.000000E+000      7.820692E-006      0.000000E+000      3.794760E-005      0.000000E+000      2.884716E-003      0.000000E+000      1.628463E-004      0.000000E+000      4.061547E-006
  2.60000E+001  2.21068E+001  1.03747E+001  7.41810E+000      2.823355E+000      2.679383E-004      1.038442E+000      1.513648E-009      1.272341E-013      5.443722E-003      1.144645E-004      1.791673E-003      3.148441E-006      1.353589E-002      5.538121E-006      3.029573E-005      1.014428E-006      2.908027E-003      7.514679E-006      2.322640E-004      7.812863E-005      1.075421E-003      1.402134E-004      1.637194E-004      2.307989E-008      1.191857E-004      1.487195E-003      0.000000E+000      0.000000E+000      6.920019E-004      0.000000E+000      1.497527E-004      0.000000E+000      1.370483E-004      0.000000E+000      7.482174E-006      0.000000E+000      3.630504E-005      0.000000E+000      2.759851E-003      0.000000E+000      1.557975E-004      0.000000E+000      3.885744E-006
  2.80000E+001  2.30681E+001  1.13360E+001  8.28746E+000      3.573384E+000      3.456266E-004      1.318715E+000      1.619761E-009      1.689308E-013      6.919598E-003      1.157113E-004      2.309320E-003      4.094684E-006      1.710667E-002      7.001657E-006      3.830513E-005      1.281258E-006      3.683476E-003      9.456612E-006      2.934898E-004      1.002892E-004      1.362343E-003      1.772657E-004      2.076039E-004      7.416297E-008      1.511086E-004      1.883979E-003      0.000000E+000      0.000000E+000      8.766274E-004      0.000000E+000      1.897067E-004      0.000000E+000      1.736127E-004      0.000000E+000      9.478413E-006      0.000000E+000      4.599120E-005      0.000000E+000      3.496178E-003      0.000000E+000      1.973641E-004      0.000000E+000      4.922457E-006
  3.00000E+001  2.28995E+001  1.23624E+001  9.21520E+000      5.139149E+000      4.870324E-004      1.904021E+000      1.725230E-009      2.179474E-013      9.916705E-003      1.754063E-004      3.431005E-003      5.484925E-006      2.455772E-002      1.005768E-005      5.491433E-005      1.839745E-006      5.302433E-003      1.357689E-005      4.213807E-004      1.464430E-004      1.961380E-003      2.545525E-004      2.993008E-004      1.733106E-007      2.177636E-004      2.712381E-003      0.000000E+000      0.000000E+000      1.262088E-003      0.000000E+000      2.731223E-004      0.000000E+000      2.499517E-004      0.000000E+000      1.364615E-005      0.000000E+000      6.621391E-005      0.000000E+000      5.033476E-003      0.000000E+000      2.841468E-004      0.000000E+000      7.086903E-006
  3.50000E+001  2.44135E+001  1.49608E+001  1.15959E+001      7.255941E+000      5.882087E-004      3.245390E+000      1.990188E-009      3.722373E-013      1.216606E-002      2.574189E-004      1.226379E-002      6.482968E-006      3.197913E-002      1.445583E-005      6.676541E-005      2.366436E-006      7.860283E-003      2.223600E-005      5.477919E-004      3.552049E-004      2.925305E-003      3.344687E-004      4.801793E-004      1.238700E-006      3.372131E-004      4.045247E-003      0.000000E+000      0.000000E+000      1.882239E-003      0.000000E+000      4.073261E-004      0.000000E+000      3.727702E-004      0.000000E+000      2.035145E-005      0.000000E+000      9.874938E-005      0.000000E+000      7.506771E-003      0.000000E+000      4.237677E-004      0.000000E+000      1.056919E-005
