# Initial composition Z = 0.02
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      6.959800E-001      2.570000E-005      2.839700E-001      1.088100E-008      2.169400E-010      3.596300E-003      4.358000E-005      9.702300E-004      2.386000E-006      8.799400E-003      3.551900E-006      1.984600E-005      6.610300E-007      1.868300E-003      4.702600E-006      1.511100E-004      4.710200E-005      6.905500E-004      9.106500E-005      1.042700E-004      0.000000E+000      7.632600E-005      9.549600E-004      4.472300E-005      8.562400E-006      4.443500E-004      1.074500E-005      9.616000E-005      4.828300E-006      8.800200E-005      6.375200E-008      4.804500E-006      4.881800E-007      2.331200E-005      1.292600E-005      1.772200E-003      4.698500E-006      1.000400E-004      9.878700E-007      2.495100E-006
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.31020E+001  4.60254E+000  2.69116E+000      5.986873E-001      3.448613E-005      2.812392E-001      1.480817E-009      1.154199E-013      2.223719E-003      1.007627E-004      2.827417E-003      1.222444E-006      6.938819E-003      3.940094E-006      1.338756E-005      5.136004E-007      1.676032E-003      6.339457E-006      1.165991E-004      6.228152E-005      6.202255E-004      7.495575E-005      1.006175E-004      5.754354E-009      6.869303E-005      8.577071E-004      0.000000E+000      0.000000E+000      3.990970E-004      0.000000E+000      8.636665E-005      0.000000E+000      7.903965E-005      0.000000E+000      4.315181E-006      0.000000E+000      2.093814E-005      0.000000E+000      1.591685E-003      0.000000E+000      8.985281E-005      0.000000E+000      2.241018E-006
  1.60000E+001  1.47777E+001  5.43757E+000  3.39650E+000      8.081174E-001      5.238144E-005      3.896848E-001      1.821293E-009      4.381652E-013      3.303927E-003      6.561309E-005      3.668420E-003      2.142594E-006      9.370064E-003      5.167189E-006      1.843523E-005      6.947695E-007      2.280765E-003      9.219226E-006      1.581372E-004      8.560343E-005      8.442880E-004      1.006303E-004      1.383157E-004      2.975016E-008      9.359906E-005      1.167561E-003      0.000000E+000      0.000000E+000      5.432739E-004      0.000000E+000      1.175673E-004      0.000000E+000      1.075933E-004      0.000000E+000      5.874072E-006      0.000000E+000      2.850220E-005      0.000000E+000      2.166692E-003      0.000000E+000      1.223128E-004      0.000000E+000      3.050603E-006
  1.80000E+001  1.48400E+001  6.36976E+000  4.03371E+000      1.982262E+000      8.555388E-005      1.114377E+000      2.051178E-009      1.586795E-012      6.143961E-003      4.077000E-004      1.451899E-002      3.088669E-006      2.139903E-002      1.427178E-005      3.618460E-005      1.568086E-006      5.888027E-003      3.181041E-005      3.569979E-004      2.781595E-004      2.183251E-003      2.355158E-004      3.821627E-004      2.606603E-007      2.430676E-004      3.019190E-003      0.000000E+000      0.000000E+000      1.404846E-003      0.000000E+000      3.040159E-004      0.000000E+000      2.782244E-004      0.000000E+000      1.518970E-005      0.000000E+000      7.370353E-005      0.000000E+000      5.602825E-003      0.000000E+000      3.162874E-004      0.000000E+000      7.888520E-006
  2.00000E+001  1.77441E+001  7.10422E+000  4.85281E+000      1.471692E+000      9.194119E-005      7.389767E-001      2.225677E-009      6.258055E-012      6.131684E-003      1.745171E-004      6.837399E-003      3.491372E-006      1.710828E-002      9.137895E-006      3.421608E-005      1.265773E-006      4.207045E-003      1.767597E-005      2.897511E-004      1.624139E-004      1.558301E-003      1.823609E-004      2.582217E-004      2.051092E-007      1.731858E-004      2.154960E-003      0.000000E+000      0.000000E+000      1.002716E-003      0.000000E+000      2.169929E-004      0.000000E+000      1.985840E-004      0.000000E+000      1.084172E-005      0.000000E+000      5.260627E-005      0.000000E+000      3.999045E-003      0.000000E+000      2.257517E-004      0.000000E+000      5.630471E-006
  2.20000E+001  1.86759E+001  8.09243E+000  5.66523E+000      2.147394E+000      1.331964E-004      1.110172E+000      2.439320E-009      9.984746E-012      8.829474E-003      2.318557E-004      1.084283E-002      5.078081E-006      2.464280E-002      1.289291E-005      4.904718E-005      1.818116E-006      6.196970E-003      2.668647E-005      4.167925E-004      2.522821E-004      2.296345E-003      2.635271E-004      3.853573E-004      4.522725E-007      2.556417E-004      3.175589E-003      0.000000E+000      0.000000E+000      1.477619E-003      0.000000E+000      3.197644E-004      0.000000E+000      2.926369E-004      0.000000E+000      1.597655E-005      0.000000E+000      7.752149E-005      0.000000E+000      5.893062E-003      0.000000E+000      3.326715E-004      0.000000E+000      8.297159E-006
  2.40000E+001  1.94133E+001  9.10986E+000  6.53761E+000      2.946574E+000      1.753104E-004      1.548271E+000      2.672251E-009      1.778217E-011      1.202348E-002      4.398253E-004      1.541160E-002      6.546400E-006      3.355569E-002      1.689547E-005      6.765052E-005      2.471854E-006      8.548377E-003      3.653171E-005      5.670314E-004      3.596800E-004      3.168594E-003      3.593929E-004      5.354220E-004      8.344113E-007      3.532553E-004      4.381807E-003      0.000000E+000      0.000000E+000      2.038877E-003      0.000000E+000      4.412236E-004      0.000000E+000      4.037919E-004      0.000000E+000      2.204507E-005      0.000000E+000      1.069672E-004      0.000000E+000      8.131480E-003      0.000000E+000      4.590333E-004      0.000000E+000      1.144875E-005
  2.60000E+001  1.96488E+001  1.00947E+001  7.35660E+000      4.096955E+000      2.520617E-004      2.127099E+000      2.907907E-009      6.084102E-012      1.700522E-002      4.780835E-004      2.052590E-002      8.949827E-006      4.708045E-002      2.356849E-005      9.362640E-005      3.469843E-006      1.183743E-002      4.735763E-005      7.970975E-004      4.884457E-004      4.387525E-003      5.020922E-004      7.364001E-004      1.255899E-006      4.894282E-004      6.067450E-003      0.000000E+000      0.000000E+000      2.823215E-003      0.000000E+000      6.109581E-004      0.000000E+000      5.591269E-004      0.000000E+000      3.052561E-005      0.000000E+000      1.481165E-004      0.000000E+000      1.125958E-002      0.000000E+000      6.356192E-004      0.000000E+000      1.585297E-005
  2.80000E+001  1.94083E+001  1.11638E+001  8.27503E+000      5.458364E+000      3.138946E-004      2.961500E+000      3.127626E-009      1.288269E-012      2.217085E-002      8.110455E-004      3.063381E-002      9.798553E-006      6.133940E-002      2.981958E-005      1.226018E-004      4.517743E-006      1.600446E-002      6.681680E-005      1.037706E-003      7.116977E-004      5.935727E-003      6.579373E-004      1.016278E-003      2.167814E-006      6.638358E-004      8.208420E-003      0.000000E+000      0.000000E+000      3.819413E-003      0.000000E+000      8.265406E-004      0.000000E+000      7.564202E-004      0.000000E+000      4.129687E-005      0.000000E+000      2.003809E-004      0.000000E+000      1.523264E-002      0.000000E+000      8.599037E-004      0.000000E+000      2.144685E-005
  3.00000E+001  1.32073E+001  1.32073E+001  9.32076E+000      9.924637E+000      4.240562E-004      6.533010E+000      3.388618E-009      3.366161E-009      3.190868E-002      2.563085E-003      9.452297E-002      1.529450E-005      9.496047E-002      4.655235E-005      1.925375E-004      6.738527E-006      3.120456E-002      1.635631E-004      1.612968E-003      1.945542E-003      1.160578E-002      1.086920E-003      2.166200E-003      9.363834E-006      1.326236E-003      1.604874E-002      0.000000E+000      0.000000E+000      7.467479E-003      0.000000E+000      1.616001E-003      0.000000E+000      1.478906E-003      0.000000E+000      8.074108E-005      0.000000E+000      3.917723E-004      0.000000E+000      2.978191E-002      0.000000E+000      1.681230E-003      0.000000E+000      4.193155E-005
  3.50000E+001  1.18407E+001  1.18407E+001  9.71103E+000      1.121865E+001      5.466745E-004      1.085775E+001      3.913091E-009      4.113669E-009      3.976122E-001      2.158320E-003      1.492812E-001      2.121535E-005      3.655188E-001      5.013807E-005      2.219823E-004      7.722417E-006      4.276454E-002      1.909765E-004      1.584779E-002      3.455518E-003      1.601989E-002      1.624687E-003      3.322675E-003      2.733514E-005      1.932325E-003      2.215063E-002      0.000000E+000      0.000000E+000      1.030645E-002      0.000000E+000      2.230370E-003      0.000000E+000      2.041154E-003      0.000000E+000      1.114371E-004      0.000000E+000      5.407156E-004      0.000000E+000      4.110434E-002      0.000000E+000      2.320398E-003      0.000000E+000      5.787302E-005
