  0 -2  15  6.86  5.09 1.08  1.70 0.13 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -2  20  8.60  6.71 1.43  1.83 0.17 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -2  25 10.20  8.26 1.53  2.54 0.19 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -2  30 11.75 10.76 1.55  3.96 0.31 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -2  40 14.38 13.75 1.54  7.39 0.39 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -2  60 18.55 20.46 1.69 19.15 0.50 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -2  80 22.30 26.49 1.78 34.51 0.53 0.000  0.000  0.000 0.000 0.000 SNIIP
150 -2  13  3.44  3.25 1.59  1.67 0.21 0.050  0.227  0.481 0.043 0.070 SNIIP
150 -2  15  4.04  3.80 1.85  1.84 0.28 0.064  0.326  0.656 0.044 0.070 SNIIP
150 -2  20  5.31  4.96 1.91  3.30 0.34 0.079  0.615  1.076 0.048 0.087 SNIIP
150 -2  25  8.62  6.62 1.92  4.72 0.42 0.076  0.962  1.926 0.046 0.083 SNIIP
150 -2  30  7.45  5.38 1.80  8.52 0.50 0.048  1.460  2.955 0.037 0.057 SNIIP
150 -2  40  0.00  1.05 2.05 14.62 0.52 0.053  2.828  4.997 0.032 0.051 SNIb
150 -2  60  0.00  1.03 2.22 36.65 0.57 0.067  7.568 12.839 0.036 0.055 SNIb
300 -2  13  3.43  3.15 1.92  1.46 0.26 0.094  0.344  0.549 0.055 0.096 SNIIP
300 -2  15  4.23  3.78 1.97  2.02 0.32 0.098  0.439  0.646 0.056 0.103 SNIIP
300 -2  20  4.29  3.80 2.03  5.27 0.60 0.089  0.986  2.026 0.055 0.087 SNIIP
300 -2  25  0.00  1.23 1.92  6.21 0.50 0.077  1.464  3.286 0.048 0.083 SNIb
300 -2  30  0.00  0.90 1.84  7.75 0.51 0.060  1.740  3.649 0.042 0.071 SNIb
300 -2  40  0.00  0.67 2.20 15.68 0.56 0.084  4.303  7.749 0.044 0.071 SNIb
300 -2  60  0.00  0.86 1.77 41.22 0.52 0.063 11.310 19.042 0.047 0.077 SNIb
  0 -3  13  6.22  4.44 1.15  1.30 0.04 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -3  15  6.95  4.62 1.46  1.45 0.20 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -3  20  8.64  6.63 1.44  1.86 0.17 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -3  25 10.13  8.00 1.53  2.89 0.22 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -3  30 11.89  9.70 1.57  4.16 0.29 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -3  40 14.58 12.82 1.72  8.61 0.42 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -3  60 19.75 17.88 1.75 21.97 0.51 0.000  0.000  0.000 0.000 0.000 SNIIP
  0 -3  80 24.20 25.17 1.81 36.37 0.52 0.000  0.000  0.000 0.000 0.000 SNIIP
150 -3  13  3.98  3.49 1.61  1.89 0.25 0.048  0.230  0.467 0.042 0.063 SNIIP
150 -3  15  4.19  3.95 1.22  2.55 0.27 0.024  0.291  0.399 0.035 0.060 SNIIP
150 -3  20  5.85  5.13 1.91  3.12 0.35 0.077  0.559  1.228 0.046 0.082 SNIIP
150 -3  25  7.11  6.21 1.84  4.59 0.43 0.068  0.949  1.595 0.048 0.082 SNIIP
150 -3  30  7.70  5.96 1.78  8.22 0.48 0.044  1.419  2.789 0.034 0.053 SNIIP
150 -3  40  0.02  1.99 2.15 18.08 0.54 0.059  3.473  5.972 0.032 0.052 SNIb
150 -3  60  0.17  3.60 1.73 45.98 0.54 0.050  9.870 17.070 0.039 0.066 SNIb
300 -3  13  4.37  3.83 1.17  2.37 0.24 0.036  0.285  0.427 0.054 0.086 SNIIP
300 -3  15  4.24  4.09 2.07  1.88 0.37 0.083  0.401  0.628 0.028 0.072 SNIIP
300 -3  20  6.71  6.20 1.93  3.26 0.36 0.086  0.609  1.257 0.051 0.090 SNIIP
300 -3  25  0.05  1.38 1.89  6.45 0.49 0.069  1.421  2.839 0.046 0.078 SNIb
300 -3  30  0.01  1.42 1.92  9.63 0.50 0.071  2.331  4.784 0.048 0.075 SNIb
300 -3  40  0.00  1.27 2.26 17.79 0.57 0.086  4.500  8.452 0.043 0.070 SNIb
300 -3  60  0.00  1.69 2.53 34.61 0.60 0.106 10.254 18.645 0.045 0.072 SNIb
