# Initial composition Z = 0.002
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.459600E-001      2.280400E-005      2.519800E-001      3.264200E-009      2.169400E-011      3.596300E-004      4.358000E-006      9.702300E-005      2.386000E-007      8.799400E-004      3.551900E-007      1.984600E-006      6.610300E-008      1.868300E-004      4.702600E-007      1.511100E-005      4.710200E-006      6.905500E-005      9.106500E-006      1.042700E-005      0.000000E+000      7.632600E-006      9.549600E-005      4.472300E-006      8.562400E-007      4.443500E-005      1.074500E-006      9.616000E-006      4.828300E-007      8.800200E-006      6.375100E-009      4.804500E-007      4.881800E-008      2.331200E-006      1.292600E-006      1.772200E-004      4.698500E-007      1.000400E-005      9.878700E-008      2.495100E-007
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.38865E+001  4.88941E+000  2.79414E+000  1.40123E+000  1.54849E+000        CCSN      6.574466E+000      3.326196E-004      4.483530E+000      1.185722E-010      1.453692E-015      1.899960E-001      1.291439E-004      6.407689E-003      9.545547E-007      6.434081E-001      9.273275E-006      3.521364E-004      6.238781E-007      1.944157E-001      5.933105E-005      2.374896E-003      2.141371E-003      7.717093E-002      1.428097E-003      1.640919E-003      4.680460E-007      2.896919E-003      1.089713E-001      9.826730E-004      0.000000E+000      4.993170E-002      8.550801E-005      9.411658E-003      4.184370E-005      7.908494E-003      3.278022E-007      1.465281E-004      1.464235E-005      1.791160E-003      7.041344E-004      8.334501E-002      1.035870E-004      3.284387E-003      5.816464E-006      2.132665E-005
  1.60000E+001  1.58444E+001  5.73941E+000  3.46081E+000  1.42208E+000  1.57376E+000        CCSN      7.320754E+000      3.869411E-004      5.010173E+000      2.250787E-010      2.151212E-015      2.570078E-001      1.343663E-004      6.180396E-003      1.238025E-006      1.045300E+000      8.914863E-006      3.373644E-004      9.821451E-007      3.682866E-001      9.294480E-005      4.257604E-003      3.619237E-003      1.168139E-001      2.065985E-003      2.515459E-003      5.902420E-007      4.593540E-003      1.188015E-001      1.206567E-003      0.000000E+000      5.188891E-002      8.798949E-005      9.612341E-003      3.701041E-005      8.103541E-003      4.533594E-007      1.439511E-004      1.465662E-005      1.757574E-003      6.680697E-004      8.320763E-002      1.093957E-004      3.029463E-003      9.117471E-006      2.533926E-005
  1.80000E+001  1.77842E+001  6.67635E+000  4.16712E+000  1.46629E+000  1.62754E+000        CCSN      7.588498E+000      3.942394E-004      5.993652E+000      4.257752E-010      5.479228E-015      3.207650E-001      1.508253E-004      7.420276E-003      1.247327E-006      1.456106E+000      8.936637E-006      2.882223E-004      1.215075E-006      5.203003E-001      1.267611E-004      5.541236E-003      5.065837E-003      1.501769E-001      2.623980E-003      3.309569E-003      6.601852E-007      6.137470E-003      1.359926E-001      1.408505E-003      0.000000E+000      5.857817E-002      9.686478E-005      1.081719E-002      3.604003E-005      9.159563E-003      6.265249E-007      1.461128E-004      1.577729E-005      1.986908E-003      7.228235E-004      8.382095E-002      1.014105E-004      2.755162E-003      1.438923E-005      3.277343E-005
  2.00000E+001  1.96925E+001  7.60599E+000  4.90668E+000  1.60075E+000  1.79293E+000        CCSN      8.438696E+000      4.213182E-004      6.400338E+000      5.318323E-010      4.826742E-011      4.127812E-001      1.673199E-004      8.263174E-003      1.421122E-006      1.830744E+000      1.038255E-005      1.968748E-004      1.502293E-006      5.471665E-001      1.570168E-004      5.882962E-003      5.929830E-003      1.457152E-001      2.676674E-003      3.581838E-003      1.331377E-006      6.708696E-003      1.533252E-001      1.392636E-003      0.000000E+000      6.930742E-002      1.381494E-004      1.283729E-002      6.864670E-005      1.035388E-002      1.024784E-006      2.076867E-004      1.264889E-005      1.986347E-003      5.481549E-004      1.298201E-001      1.484547E-004      4.482527E-003      3.203024E-005      8.855483E-005
  2.20000E+001  2.16039E+001  8.49490E+000  5.67716E+000  1.73855E+000  1.96524E+000        CCSN      8.785338E+000      4.393534E-004      7.248860E+000      5.888842E-010      1.744532E-011      5.400905E-001      1.747257E-004      8.873898E-003      1.544948E-006      2.229628E+000      1.121699E-005      1.199793E-004      2.157855E-006      5.751184E-001      1.874351E-004      7.805986E-003      6.858824E-003      1.407436E-001      2.723441E-003      3.866296E-003      4.522932E-006      7.303443E-003      2.162129E-001      1.386860E-003      0.000000E+000      1.072025E-001      1.836728E-004      2.071417E-002      1.009843E-004      1.701225E-002      1.474990E-006      2.083147E-004      1.868414E-005      3.260908E-003      8.872492E-004      1.067731E-001      1.189268E-004      1.718560E-003      3.217503E-005      3.247239E-005
  2.40000E+001  2.34676E+001  9.51646E+000  6.57199E+000  1.70623E+000  1.92458E+000        CCSN      9.354698E+000      4.608397E-004      7.800915E+000      6.309824E-010      1.415858E-011      5.568520E-001      1.863967E-004      1.057121E-002      1.501558E-006      2.883638E+000      1.061883E-005      7.223286E-005      2.098323E-006      8.227873E-001      2.295257E-004      7.473137E-003      8.747489E-003      1.787492E-001      3.286640E-003      5.278583E-003      5.250398E-006      9.994526E-003      1.959699E-001      1.569830E-003      0.000000E+000      9.265234E-002      1.735346E-004      1.765164E-002      8.960452E-005      1.448505E-002      1.871960E-006      1.850757E-004      1.551063E-005      2.514890E-003      7.121316E-004      9.950362E-002      1.373058E-004      2.223794E-003      4.663055E-005      6.213282E-005
  2.60000E+001  2.52884E+001  1.05266E+001  7.47286E+000  2.47884E+001  2.52884E+001         FSN      5.295327E-001      6.062322E-005      1.805780E-001      6.544999E-010      2.391930E-014      2.536403E-004      3.248117E-006      7.503678E-005      1.675282E-007      6.221851E-004      2.519059E-007      1.400714E-006      4.670137E-008      1.328286E-004      3.338597E-007      1.068514E-005      3.562647E-006      4.914119E-005      6.440005E-006      7.418886E-006      4.350710E-009      5.470365E-006      6.795620E-005      0.000000E+000      0.000000E+000      3.162027E-005      0.000000E+000      6.842787E-006      0.000000E+000      6.262273E-006      0.000000E+000      3.418897E-007      0.000000E+000      1.658919E-006      0.000000E+000      1.261084E-004      0.000000E+000      7.118996E-006      0.000000E+000      1.775548E-007
  2.80000E+001  2.71412E+001  1.15207E+001  8.40467E+000  2.66412E+001  2.71412E+001         FSN      6.395396E-001      7.347329E-005      2.175114E-001      6.776450E-010      2.449010E-014      3.070423E-004      3.806555E-006      8.861002E-005      2.031103E-007      7.520716E-004      3.040986E-007      1.694435E-006      5.646399E-008      1.603528E-004      4.026405E-007      1.291740E-005      4.233014E-006      5.930937E-005      7.783952E-006      8.951762E-006      5.459976E-009      6.592451E-006      8.201770E-005      0.000000E+000      0.000000E+000      3.816319E-005      0.000000E+000      8.258710E-006      0.000000E+000      7.558074E-006      0.000000E+000      4.126342E-007      0.000000E+000      2.002185E-006      0.000000E+000      1.522030E-004      0.000000E+000      8.592072E-006      0.000000E+000      2.142947E-007
  3.00000E+001  2.86371E+001  1.26621E+001  9.43223E+000  2.81371E+001  2.86371E+001         FSN      1.015076E+000      1.166209E-004      3.450177E-001      6.954872E-010      3.657715E-014      4.875265E-004      6.129902E-006      1.394361E-004      3.221366E-007      1.194380E-003      4.827905E-007      2.691313E-006      8.968618E-008      2.544869E-004      6.393923E-007      2.051357E-005      6.683955E-006      9.412067E-005      1.236157E-005      1.420551E-005      5.133901E-009      1.045650E-005      1.301576E-004      0.000000E+000      0.000000E+000      6.056290E-005      0.000000E+000      1.310612E-005      0.000000E+000      1.199425E-005      0.000000E+000      6.548279E-007      0.000000E+000      3.177359E-006      0.000000E+000      2.415378E-004      0.000000E+000      1.363515E-005      0.000000E+000      3.400740E-007
  3.50000E+001  3.27120E+001  1.52569E+001  1.18820E+001  3.22120E+001  3.27120E+001         FSN      1.705499E+000      1.966879E-004      5.777564E-001      7.766024E-010      2.672913E-013      8.209292E-004      1.002640E-005      2.275446E-004      5.434950E-007      2.009496E-003      8.117272E-007      4.530145E-006      1.509187E-007      4.273549E-004      1.074363E-006      3.451312E-005      1.098265E-005      1.580030E-004      2.079690E-005      2.384803E-005      4.813220E-009      1.750980E-005      2.185002E-004      0.000000E+000      0.000000E+000      1.016694E-004      0.000000E+000      2.200179E-005      0.000000E+000      2.013524E-005      0.000000E+000      1.099287E-006      0.000000E+000      5.333963E-006      0.000000E+000      4.054795E-004      0.000000E+000      2.288988E-005      0.000000E+000      5.708963E-007
