# Initial composition Z = 0.03
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      6.679800E-001      2.732900E-005      3.019700E-001      1.088100E-008      3.254100E-010      5.394500E-003      6.536900E-005      1.455300E-003      3.579000E-006      1.319900E-002      5.327800E-006      2.976900E-005      9.915400E-007      2.802500E-003      7.053900E-006      2.266700E-004      7.065300E-005      1.035800E-003      1.366000E-004      1.564100E-004      0.000000E+000      1.144900E-004      1.432400E-003      6.708500E-005      1.284400E-005      6.665300E-004      1.611800E-005      1.442400E-004      7.242500E-006      1.320000E-004      9.562700E-008      7.206700E-006      7.322600E-007      3.496900E-005      1.939000E-005      2.658300E-003      7.047800E-006      1.500600E-004      1.481800E-006      3.742700E-006
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.25589E+001  4.67028E+000  2.74197E+000      9.244255E-001      5.546896E-005      4.733014E-001      1.584624E-009      2.570787E-013      5.460676E-003      2.940413E-004      6.329292E-003      2.808729E-006      1.704140E-002      9.633026E-006      3.320485E-005      1.249541E-006      4.036567E-003      1.337247E-005      2.841330E-004      1.462743E-004      1.493069E-003      1.849049E-004      2.377210E-004      1.827517E-008      1.652122E-004      2.064761E-003      0.000000E+000      0.000000E+000      9.607481E-004      0.000000E+000      2.079109E-004      0.000000E+000      1.902725E-004      0.000000E+000      1.038795E-005      0.000000E+000      5.040449E-005      0.000000E+000      3.831669E-003      0.000000E+000      2.163030E-004      0.000000E+000      5.394814E-006
  1.60000E+001  1.39752E+001  5.59039E+000  3.50059E+000      1.276529E+000      7.523678E-005      6.873203E-001      1.975435E-009      7.880086E-013      7.397492E-003      3.343596E-004      1.020257E-002      4.035072E-006      2.291573E-002      1.327141E-005      4.370247E-005      1.661615E-006      5.669589E-003      2.097006E-005      3.782633E-004      2.275269E-004      2.097898E-003      2.521125E-004      3.417882E-004      8.597710E-008      2.323134E-004      2.901174E-003      0.000000E+000      0.000000E+000      1.349936E-003      0.000000E+000      2.921332E-004      0.000000E+000      2.673497E-004      0.000000E+000      1.459599E-005      0.000000E+000      7.082276E-005      0.000000E+000      5.383834E-003      0.000000E+000      3.039249E-004      0.000000E+000      7.580191E-006
  1.80000E+001  1.51613E+001  6.50796E+000  4.28668E+000      1.783353E+000      1.100030E-004      9.700168E-001      2.160456E-009      4.696469E-012      1.084790E-002      4.554740E-004      1.377056E-002      6.217997E-006      3.211792E-002      1.732023E-005      6.287890E-005      2.340995E-006      7.947781E-003      3.015504E-005      5.338513E-004      3.156909E-004      2.941278E-003      3.512466E-004      4.812237E-004      2.470609E-007      3.258555E-004      4.067480E-003      0.000000E+000      0.000000E+000      1.892626E-003      0.000000E+000      4.095739E-004      0.000000E+000      3.748274E-004      0.000000E+000      2.046375E-005      0.000000E+000      9.929433E-005      0.000000E+000      7.548197E-003      0.000000E+000      4.261062E-004      0.000000E+000      1.062751E-005
  2.00000E+001  1.62453E+001  7.34563E+000  5.03096E+000      2.326708E+000      1.518105E-004      1.315139E+000      2.422086E-009      3.377837E-011      1.439260E-002      3.604836E-004      1.924736E-002      8.938039E-006      4.154575E-002      2.280424E-005      7.993780E-005      3.012924E-006      1.050923E-002      4.251029E-005      6.884356E-004      4.373286E-004      3.890539E-003      4.552234E-004      6.454820E-004      7.009979E-007      4.314608E-004      5.380201E-003      0.000000E+000      0.000000E+000      2.503442E-003      0.000000E+000      5.417578E-004      0.000000E+000      4.957971E-004      0.000000E+000      2.706812E-005      0.000000E+000      1.313401E-004      0.000000E+000      9.984262E-003      0.000000E+000      5.636254E-004      0.000000E+000      1.405738E-005
  2.20000E+001  1.70900E+001  8.19455E+000  5.82964E+000      3.052786E+000      1.953011E-004      1.709684E+000      2.696092E-009      8.460374E-011      1.946579E-002      6.215882E-004      2.359125E-002      1.056516E-005      5.508546E-002      2.891808E-005      1.083554E-004      4.014236E-006      1.374275E-002      5.407500E-005      9.178317E-004      5.551133E-004      5.087582E-003      5.987097E-004      8.400130E-004      1.242688E-006      5.644019E-004      7.035582E-003      0.000000E+000      0.000000E+000      3.273701E-003      0.000000E+000      7.084458E-004      0.000000E+000      6.483440E-004      0.000000E+000      3.539644E-005      0.000000E+000      1.717508E-004      0.000000E+000      1.305622E-002      0.000000E+000      7.370419E-004      0.000000E+000      1.838256E-005
  2.40000E+001  1.76940E+001  9.09477E+000  6.63320E+000      3.954492E+000      2.690757E-004      2.162160E+000      3.023270E-009      1.744464E-010      2.657649E-002      7.632714E-004      2.702840E-002      1.472592E-005      7.241409E-002      3.559819E-005      1.474894E-004      5.312470E-006      1.765198E-002      6.568069E-005      1.215281E-003      6.761731E-004      6.533914E-003      7.794699E-004      1.067663E-003      1.794803E-006      7.248336E-004      9.035704E-003      0.000000E+000      0.000000E+000      4.204371E-003      0.000000E+000      9.098477E-004      0.000000E+000      8.326598E-004      0.000000E+000      4.545917E-005      0.000000E+000      2.205772E-004      0.000000E+000      1.676793E-002      0.000000E+000      9.465728E-004      0.000000E+000      2.360847E-005
  2.60000E+001  1.70139E+001  1.01272E+001  7.54702E+000      5.404130E+000      3.297301E-004      3.312566E+000      3.470940E-009      4.337823E-010      3.321814E-002      1.212083E-003      5.241755E-002      1.812002E-005      9.342090E-002      4.832891E-005      1.852991E-004      6.728138E-006      2.513391E-002      1.110415E-004      1.541071E-003      1.172717E-003      9.312628E-003      1.035062E-003      1.595586E-003      4.684359E-006      1.036004E-003      1.287806E-002      0.000000E+000      0.000000E+000      5.992236E-003      0.000000E+000      1.296769E-003      0.000000E+000      1.186736E-003      0.000000E+000      6.479101E-005      0.000000E+000      3.143778E-004      0.000000E+000      2.389840E-002      0.000000E+000      1.349095E-003      0.000000E+000      3.364795E-005
  2.80000E+001  1.20694E+001  1.18176E+001  8.95879E+000      9.277223E+000      4.603037E-004      6.176769E+000      3.498592E-009      2.905577E-010      4.922662E-002      3.108952E-003      1.210041E-001      2.366860E-005      1.453526E-001      7.881058E-005      2.860043E-004      1.003565E-005      4.452741E-002      2.276203E-004      2.303229E-003      2.535926E-003      1.651168E-002      1.696084E-003      2.967446E-003      1.082758E-005      1.840745E-003      2.283375E-002      0.000000E+000      0.000000E+000      1.062466E-002      0.000000E+000      2.299231E-003      0.000000E+000      2.104173E-003      0.000000E+000      1.148776E-004      0.000000E+000      5.574098E-004      0.000000E+000      4.237341E-002      0.000000E+000      2.392038E-003      0.000000E+000      5.965981E-005
  3.00000E+001  7.99594E+000  7.99594E+000  6.39611E+000      1.016649E+001      5.529172E-004      9.523326E+000      3.715707E-009      4.500452E-009      1.115787E+000      3.396456E-003      1.687684E-001      2.956406E-005      7.461735E-001      8.543509E-005      3.363258E-004      1.239759E-005      6.125192E-002      2.322014E-004      6.263924E-002      4.387977E-003      2.282948E-002      2.806262E-003      4.730080E-003      5.331144E-005      2.642221E-003      3.156738E-002      0.000000E+000      0.000000E+000      1.468824E-002      0.000000E+000      3.178610E-003      0.000000E+000      2.908949E-003      0.000000E+000      1.588145E-004      0.000000E+000      7.706005E-004      0.000000E+000      5.857983E-002      0.000000E+000      3.306913E-003      0.000000E+000      8.247770E-005
  3.50000E+001  4.79497E+000  4.79497E+000  3.80262E+000      1.135574E+001      6.245164E-004      1.464847E+001      4.390434E-009      4.000519E-011      2.733397E+000      2.814336E-003      2.233771E-001      3.389605E-005      7.406639E-001      8.943475E-005      3.596734E-004      1.453745E-005      8.378218E-002      2.848355E-004      2.016576E-001      7.295328E-003      3.135662E-002      2.432936E-003      6.651516E-003      1.304666E-004      3.731327E-003      4.335966E-002      0.000000E+000      0.000000E+000      2.017490E-002      0.000000E+000      4.365953E-003      0.000000E+000      3.995563E-003      0.000000E+000      2.181383E-004      0.000000E+000      1.058452E-003      0.000000E+000      8.046183E-002      0.000000E+000      4.542182E-003      0.000000E+000      1.132865E-004
