#
# Initial mass = 1.000, Z =  0.0140, Y =  0.280, M_mix = 0.00E+00
#
# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 7.11493E-01
 he   2  10.996293  0.066293  0.060550  0.066423 2.80149E-01
  c   6   8.475736  0.005735 -0.000008  0.005866 2.53528E-03
  n   7   7.875747  0.005747  0.000004  0.005877 7.42681E-04
  o   8   8.729869 -0.000131 -0.005874  0.000000 6.06278E-03
  f   9   4.465737  0.005737 -0.000006  0.005867 3.91882E-07
 ne  10   7.975741  0.005742 -0.000001  0.005872 1.34702E-03
 na  11   6.315756  0.005756  0.000013  0.005887 3.35742E-05
 mg  12   7.645740  0.005740 -0.000003  0.005870 7.58832E-04
 al  13   6.475745  0.005745  0.000002  0.005876 5.69547E-05
 si  14   7.555746  0.005746  0.000003  0.005877 7.12764E-04
  p  15   5.475745  0.005745  0.000002  0.005876 6.53812E-06
  s  16   7.165744  0.005744  0.000001  0.005875 3.31501E-04
 cl  17   5.235743  0.005743  0.000000  0.005874 4.30632E-06
 ar  18   6.445737  0.005737 -0.000006  0.005868 7.86942E-05
  k  19   5.085170  0.005170 -0.000573  0.005301 3.35765E-06
 ca  20   6.295729  0.005729 -0.000014  0.005860 5.58915E-05
 sc  21   3.055743  0.005743  0.000000  0.005874 3.60779E-08
 ti  22   4.915744  0.005744  0.000001  0.005875 2.78286E-06
  v  23   3.964656  0.004656 -0.001087  0.004786 3.31469E-07
 cr  24   5.626453 -0.013547 -0.019290 -0.013416 1.55286E-05
 mn  25   5.485750  0.005750  0.000007  0.005880 1.18668E-05
 fe  26   7.545743  0.005743  0.000000  0.005874 1.38496E-03
 co  27   4.875741  0.005742 -0.000001  0.005872 3.12471E-06
 ni  28   6.205747  0.005747  0.000004  0.005877 6.65339E-05
 cu  29   4.255744  0.005744  0.000001  0.005875 8.08244E-07
 zn  30   4.635749  0.005749  0.000006  0.005879 1.99571E-06
 ga  31   3.085744  0.005744  0.000001  0.005875 5.99557E-08
 ge  32   3.551369 -0.028631 -0.034374 -0.028501 1.82497E-07
 as  33   2.305741  0.005741 -0.000002  0.005872 1.06920E-08
 se  34   3.301817 -0.038183 -0.043926 -0.038052 1.11669E-07
 br  35   2.545752  0.005752  0.000009  0.005882 1.98167E-08
 kr  36   3.254171  0.004171 -0.001572  0.004302 1.06198E-07
 rb  37   2.365756  0.005756  0.000013  0.005887 1.40046E-08
 sr  38   2.883311  0.003311 -0.002432  0.003442 4.72743E-08
  y  39   2.175763  0.005763  0.000020  0.005894 9.40599E-09
 zr  40   2.535745  0.005745  0.000002  0.005875 2.21088E-08
 nb  41   1.415753  0.005753  0.000010  0.005884 1.70808E-09
 mo  42   1.824561 -0.115439 -0.121182 -0.115308 4.52138E-09
 tc  43   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 ru  44   1.634797 -0.125203 -0.130946 -0.125072 3.07701E-09
 rh  45   1.065744  0.005744  0.000001  0.005875 8.45076E-10
 pd  46   1.596560 -0.053440 -0.059183 -0.053310 2.96683E-09
 ag  47   1.205744  0.005744  0.000001  0.005874 1.22277E-09
 cd  48   1.676023 -0.033978 -0.039721 -0.033847 3.76307E-09
 in  49   0.746702 -0.013298 -0.019041 -0.013167 4.52296E-10
 sn  50   2.013310 -0.056690 -0.062433 -0.056559 8.63989E-09
 sb  51   0.773212 -0.236788 -0.242531 -0.236657 5.09832E-10
 te  52   1.718371 -0.461629 -0.467372 -0.461498 4.70904E-09
  i  53   1.555738  0.005738 -0.000005  0.005869 3.22050E-09
 xe  54   2.208662 -0.031338 -0.037081 -0.031207 1.49835E-08
 cs  55   1.085744  0.005744  0.000001  0.005875 1.14287E-09
 ba  56   2.184845  0.004845 -0.000898  0.004976 1.48358E-08
 la  57   1.175352  0.005352 -0.000391  0.005483 1.46820E-09
 ce  58   1.583842  0.003842 -0.001901  0.003973 3.79350E-09
 pr  59   0.765744  0.005744  0.000001  0.005875 5.79950E-10
 nd  60   1.430741 -0.019259 -0.025002 -0.019128 2.74497E-09
 pm  61   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 sm  62   0.816035 -0.123965 -0.129708 -0.123834 6.94829E-10
 eu  63   0.515746  0.005746  0.000003  0.005877 3.51720E-10
 gd  64   1.055745  0.005745  0.000002  0.005876 1.26196E-09
 tb  65   0.325749  0.005749  0.000006  0.005880 2.37494E-10
 dy  66   1.135090  0.005090 -0.000653  0.005221 1.56550E-09
 ho  67   0.475745  0.005745  0.000002  0.005876 3.48141E-10
 er  68   0.918121 -0.001879 -0.007622 -0.001748 9.77736E-10
 tm  69   0.125744  0.005744  0.000001  0.005875 1.59284E-10
 yb  70   0.864717 -0.055283 -0.061027 -0.055153 8.94485E-10
 lu  71   0.095744  0.005744  0.000001  0.005875 1.53961E-10
 hf  72   0.715034  0.005035 -0.000709  0.005165 6.53670E-10
 ta  73  -0.114309  0.005691 -0.000052  0.005821 9.81647E-11
  w  74   0.655223  0.005223 -0.000520  0.005354 5.86642E-10
 re  75   0.265743  0.005743  0.000000  0.005874 2.42353E-10
 os  76   1.355659  0.005659 -0.000084  0.005790 3.04543E-09
 ir  77   1.325747  0.005746  0.000003  0.005877 2.87242E-09
 pt  78   1.593406 -0.026594 -0.032337 -0.026464 5.39913E-09
 au  79   0.805747  0.005747  0.000004  0.005878 8.88896E-10
 hg  80   1.144129 -0.025871 -0.031614 -0.025741 1.97310E-09
 tl  81   0.775745  0.005745  0.000002  0.005876 8.60797E-10
 pb  82   2.045741  0.005741 -0.000002  0.005872 1.62495E-08
 bi  83   0.655747  0.005747  0.000004  0.005878 6.67671E-10
 po  84   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
# Elemental abundance ratios: 
# He/H =  9.9150E-02, C/O =  5.5702E-01, N/O = 1.39919E-01
#
#
# During TP-AGB
#  TP   Mass     Mcore    Menv    log L
#  0 1.000000 0.540000 0.450000 3.300000
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 6.91484E-01
 he   2  11.038506  0.108505  0.102762  0.108636 3.00063E-01
  c   6   8.425726 -0.044274 -0.050017 -0.044144 2.19597E-03
  n   7   8.076023  0.206023  0.200280  0.206154 1.14470E-03
  o   8   8.741740  0.011741  0.005998  0.000000 6.05556E-03
  f   9   4.477906  0.017906  0.012163  0.006166 3.91684E-07
 ne  10   7.987993  0.017993  0.012250  0.006252 1.34659E-03
 na  11   6.334392  0.024392  0.018649  0.012651 3.40606E-05
 mg  12   7.658128  0.018128  0.012385  0.006388 7.58832E-04
 al  13   6.488138  0.018138  0.012395  0.006397 5.69551E-05
 si  14   7.568135  0.018135  0.012392  0.006394 7.12765E-04
  p  15   5.488134  0.018135  0.012392  0.006394 6.53812E-06
  s  16   7.178133  0.018133  0.012390  0.006392 3.31502E-04
 cl  17   5.248132  0.018132  0.012389  0.006392 4.30632E-06
 ar  18   6.458127  0.018127  0.012384  0.006386 7.86943E-05
  k  19   5.097495  0.017495  0.011752  0.005754 3.35715E-06
 ca  20   6.308122  0.018122  0.012379  0.006381 5.58919E-05
 sc  21   3.068132  0.018132  0.012389  0.006392 3.60779E-08
 ti  22   4.928133  0.018134  0.012391  0.006393 2.78286E-06
  v  23   3.977045  0.017045  0.011302  0.005304 3.31469E-07
 cr  24   5.638842 -0.001158 -0.006901 -0.012898 1.55286E-05
 mn  25   5.498139  0.018139  0.012396  0.006398 1.18668E-05
 fe  26   7.558132  0.018132  0.000000  0.006392 1.38496E-03
 co  27   4.888131  0.018131 -0.000001  0.006390 3.12472E-06
 ni  28   6.218136  0.018136  0.000004  0.006395 6.65340E-05
 cu  29   4.268133  0.018133  0.000001  0.006392 8.08244E-07
 zn  30   4.648138  0.018138  0.000006  0.006397 1.99571E-06
 ga  31   3.098133  0.018133  0.000001  0.006392 5.99557E-08
 ge  32   3.563758 -0.016242 -0.034374 -0.027983 1.82497E-07
 as  33   2.318130  0.018131 -0.000002  0.006390 1.06920E-08
 se  34   3.314206 -0.025794 -0.043926 -0.037534 1.11669E-07
 br  35   2.558141  0.018141  0.000009  0.006400 1.98167E-08
 kr  36   3.266561  0.016561 -0.001572  0.004820 1.06198E-07
 rb  37   2.357894 -0.002106 -0.020238 -0.013847 1.33665E-08
 sr  38   2.901669  0.021668  0.003536  0.009928 4.79284E-08
  y  39   2.188152  0.018152  0.000020  0.006412 9.40599E-09
 zr  40   2.548134  0.018134  0.000002  0.006393 2.21088E-08
 nb  41   1.428143  0.018143  0.000010  0.006402 1.70808E-09
 mo  42   1.836950 -0.103050 -0.121182 -0.114790 4.52138E-09
 tc  43   0.000000 -9.000000  0.000000  0.000000 2.42643E-33
 ru  44   1.647186 -0.112814 -0.130946 -0.124554 3.07702E-09
 rh  45   1.078134  0.018134  0.000001  0.006393 8.45076E-10
 pd  46   1.608949 -0.041051 -0.059183 -0.052792 2.96684E-09
 ag  47   1.218132  0.018132  0.000000  0.006391 1.22277E-09
 cd  48   1.688412 -0.021588 -0.039721 -0.033329 3.76307E-09
 in  49   0.759091 -0.000909 -0.019041 -0.012649 4.52296E-10
 sn  50   2.025700 -0.044300 -0.062433 -0.056041 8.63989E-09
 sb  51   0.785602 -0.224398 -0.242531 -0.236139 5.09833E-10
 te  52   1.730761 -0.449239 -0.467372 -0.460980 4.70904E-09
  i  53   1.568128  0.018128 -0.000005  0.006387 3.22051E-09
 xe  54   2.221051 -0.018949 -0.037081 -0.030689 1.49835E-08
 cs  55   1.098133  0.018133  0.000001  0.006392 1.14287E-09
 ba  56   2.197234  0.017234 -0.000898  0.005493 1.48358E-08
 la  57   1.187741  0.017741 -0.000391  0.006001 1.46820E-09
 ce  58   1.596231  0.016231 -0.001901  0.004491 3.79350E-09
 pr  59   0.778133  0.018133  0.000001  0.006393 5.79950E-10
 nd  60   1.443130 -0.006870 -0.025002 -0.018610 2.74497E-09
 pm  61   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 sm  62   0.828424 -0.111576 -0.129708 -0.123316 6.94830E-10
 eu  63   0.528135  0.018135  0.000003  0.006395 3.51720E-10
 gd  64   1.068134  0.018134  0.000002  0.006394 1.26196E-09
 tb  65   0.338139  0.018139  0.000006  0.006398 2.37494E-10
 dy  66   1.147479  0.017479 -0.000653  0.005738 1.56550E-09
 ho  67   0.488134  0.018134  0.000002  0.006394 3.48141E-10
 er  68   0.930511  0.010511 -0.007622 -0.001230 9.77736E-10
 tm  69   0.138133  0.018133  0.000001  0.006392 1.59284E-10
 yb  70   0.877105 -0.042895 -0.061027 -0.054636 8.94485E-10
 lu  71   0.105662  0.015662 -0.002470  0.003922 1.53088E-10
