#
# Initial mass = 1.000, Z =  0.0300, Y =  0.300, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/mg26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  2.424E+01 1.319E+03 1.829E+03 5.923E+02 7.899E+00 7.174E+00 1.997E-10 1.969E+01 2.987E+01 7.678E-25 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.270E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.424E+01 1.319E+03 1.829E+03 5.923E+02 7.899E+00 7.174E+00 1.882E-10 1.969E+01 2.987E+01 4.706E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.270E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 1.626E-33 3.852E-01 1.674E-02 5.339E-02
  2.425E+01 1.319E+03 1.829E+03 5.923E+02 7.899E+00 7.174E+00 1.775E-10 1.969E+01 2.987E+01 9.779E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.270E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 3.573E-33 3.852E-01 1.674E-02 5.339E-02
  2.425E+01 1.319E+03 1.829E+03 5.923E+02 7.899E+00 7.174E+00 1.680E-10 1.969E+01 2.987E+01 1.911E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.270E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 9.615E-33 3.852E-01 1.674E-02 5.339E-02
  2.425E+01 1.319E+03 1.829E+03 5.923E+02 7.899E+00 7.174E+00 1.611E-10 1.969E+01 2.987E+01 3.447E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.270E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 3.785E-32 3.852E-01 1.674E-02 5.339E-02
  2.439E+01 1.311E+03 1.833E+03 5.916E+02 7.899E+00 7.174E+00 1.539E-10 1.969E+01 2.987E+01 5.193E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.269E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 6.906E-32 3.852E-01 1.674E-02 5.339E-02
  2.439E+01 1.312E+03 1.833E+03 5.916E+02 7.899E+00 7.174E+00 1.508E-10 1.969E+01 2.987E+01 4.206E-14 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.269E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 3.567E-30 3.852E-01 1.674E-02 5.339E-02
  2.439E+01 1.312E+03 1.833E+03 5.916E+02 7.899E+00 7.174E+00 1.886E-10 1.969E+01 2.987E+01 8.417E-14 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.269E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 6.149E-28 3.852E-01 1.674E-02 5.339E-02
  2.440E+01 1.312E+03 1.833E+03 5.915E+02 7.899E+00 7.174E+00 1.952E-10 1.969E+01 2.987E+01 1.401E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.269E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 1.002E-26 3.852E-01 1.674E-02 5.339E-02
  2.439E+01 1.312E+03 1.833E+03 5.916E+02 7.899E+00 7.174E+00 8.063E-10 1.969E+01 2.987E+01 2.981E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 3.269E-06 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 4.039E-26 3.852E-01 1.674E-02 5.339E-02
