# Initial composition Z = 0.004
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.399600E-001      2.316600E-005      2.559800E-001      4.352300E-009      4.338700E-011      7.192600E-004      8.715900E-006      1.940500E-004      4.772000E-007      1.759900E-003      7.103700E-007      3.969200E-006      1.322100E-007      3.736600E-004      9.405200E-007      3.022300E-005      9.420400E-006      1.381100E-004      1.821300E-005      2.085500E-005      0.000000E+000      1.526500E-005      1.909900E-004      8.944600E-006      1.712500E-006      8.887000E-005      2.149000E-006      1.923200E-005      9.656600E-007      1.760000E-005      1.275000E-008      9.609000E-007      9.763500E-008      4.662500E-006      2.585300E-006      3.544300E-004      9.397100E-007      2.000800E-005      1.975700E-007      4.990300E-007
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.38089E+001  4.82727E+000  2.72663E+000  1.38082E+000  1.52382E+000        CCSN      6.551656E+000      3.541991E-004      4.546170E+000      2.216302E-010      5.187703E-015      1.848223E-001      2.726629E-004      1.164392E-002      2.024735E-006      6.098059E-001      1.508337E-005      6.540601E-004      1.158910E-006      1.985757E-001      8.953496E-005      3.747415E-003      2.762171E-003      7.500460E-002      2.256154E-003      2.442560E-003      1.098044E-006      3.710379E-003      1.112589E-001      1.243800E-003      0.000000E+000      5.291865E-002      1.114834E-004      1.000155E-002      6.156550E-005      8.153718E-003      5.264994E-007      1.471329E-004      1.861806E-005      1.852051E-003      8.464414E-004      8.737000E-002      1.234784E-004      3.746596E-003      9.145034E-006      2.406373E-005
  1.60000E+001  1.57290E+001  5.66226E+000  3.42322E+000  1.41576E+000  1.56608E+000        CCSN      7.329233E+000      3.103047E-004      5.018846E+000      3.545681E-010      5.526246E-013      2.607288E-001      2.395128E-004      1.267488E-002      2.141911E-006      1.011861E+000      1.793960E-005      5.930699E-004      1.749301E-006      3.528621E-001      1.387249E-004      6.703750E-003      4.796456E-003      1.111822E-001      3.232430E-003      3.601826E-003      1.059052E-006      5.824820E-003      1.314001E-001      1.613631E-003      0.000000E+000      5.809663E-002      1.252240E-004      1.048676E-002      5.623441E-005      8.469632E-003      7.643220E-007      1.536928E-004      1.886481E-005      1.860275E-003      8.235317E-004      8.699661E-002      1.418076E-004      3.655487E-003      1.555256E-005      3.219169E-005
  1.80000E+001  1.74148E+001  6.63717E+000  4.14125E+000  1.46048E+000  1.62045E+000        CCSN      7.551652E+000      4.038094E-004      6.035532E+000      5.497597E-010      1.047808E-014      3.396791E-001      3.036395E-004      1.362762E-002      2.600816E-006      1.420560E+000      1.546782E-005      5.275461E-004      2.207544E-006      4.979156E-001      1.874355E-004      9.305367E-003      6.855283E-003      1.433300E-001      4.142925E-003      4.746719E-003      1.219270E-006      7.895969E-003      1.540076E-001      1.952067E-003      0.000000E+000      6.589098E-002      1.429078E-004      1.166301E-002      5.286581E-005      9.425720E-003      1.059051E-006      1.497100E-004      2.046797E-005      2.131192E-003      9.277057E-004      8.789157E-002      1.385174E-004      3.039080E-003      2.311740E-005      3.467333E-005
  2.00000E+001  1.91336E+001  7.57288E+000  4.90225E+000  1.56290E+000  1.74610E+000        CCSN      8.425123E+000      4.301071E-004      6.394288E+000      7.198123E-010      2.090796E-014      4.356233E-001      3.430945E-004      1.505644E-002      2.846023E-006      1.834328E+000      1.880573E-005      3.590226E-004      2.625318E-006      5.591962E-001      2.382439E-004      9.692854E-003      8.435055E-003      1.375627E-001      4.422640E-003      5.570238E-003      1.597817E-006      9.362415E-003      1.724822E-001      1.900200E-003      0.000000E+000      8.092573E-002      2.067324E-004      1.482303E-002      1.114606E-004      1.131049E-002      1.822115E-006      2.067257E-004      1.680914E-005      1.898709E-003      6.644013E-004      1.105838E-001      2.117689E-004      4.244432E-003      4.620278E-005      7.971671E-005
  2.20000E+001  2.09442E+001  8.48629E+000  5.67604E+000  1.66576E+000  1.87387E+000        CCSN      8.805554E+000      4.486380E-004      7.196646E+000      8.135345E-010      4.792456E-014      5.695034E-001      3.374241E-004      1.620766E-002      3.052665E-006      2.258803E+000      1.993549E-005      2.246304E-004      3.716296E-006      6.214691E-001      2.884937E-004      1.299647E-002      1.008455E-002      1.315278E-001      4.697529E-003      6.416468E-003      4.667018E-006      1.085634E-002      2.099606E-001      1.851559E-003      0.000000E+000      1.095372E-001      2.698000E-004      2.139079E-002      1.642898E-004      1.690201E-002      2.620451E-006      2.144096E-004      2.178396E-005      2.957031E-003      9.728675E-004      1.056452E-001      1.992958E-004      2.488353E-003      6.106800E-005      5.835969E-005
  2.40000E+001  2.22491E+001  9.51571E+000  6.57732E+000  1.65510E+000  1.86056E+000        CCSN      9.328699E+000      4.735952E-004      7.778315E+000      8.515608E-010      1.307790E-013      5.769285E-001      3.572591E-004      1.916033E-002      3.049913E-006      2.885020E+000      1.870758E-005      1.363548E-004      3.690938E-006      8.663362E-001      3.294661E-004      1.243252E-002      1.214387E-002      1.741877E-001      5.609689E-003      8.763473E-003      5.003003E-006      1.506536E-002      1.990021E-001      2.151714E-003      0.000000E+000      9.997311E-002      2.531402E-004      1.935873E-002      1.427710E-004      1.541626E-002      3.327836E-006      2.023088E-004      2.029016E-005      2.617828E-003      8.787643E-004      9.457516E-002      2.232472E-004      2.505249E-003      8.268948E-005      8.621902E-005
  2.60000E+001  2.39524E+001  1.04301E+001  7.43052E+000  2.34524E+001  2.39524E+001         FSN      1.511672E+000      1.626954E-004      5.275264E-001      8.920077E-010      1.248637E-013      1.461129E-003      1.822036E-005      4.300216E-004      9.643681E-007      3.581233E-003      1.449928E-006      8.063528E-006      2.688162E-007      7.647369E-004      1.927267E-006      6.149596E-005      2.011104E-005      2.827934E-004      3.708006E-005      4.279782E-005      2.314913E-008      3.136013E-005      3.910734E-004      0.000000E+000      0.000000E+000      1.819689E-004      0.000000E+000      3.937901E-005      0.000000E+000      3.603824E-005      0.000000E+000      1.967514E-006      0.000000E+000      9.546780E-006      0.000000E+000      7.257311E-004      0.000000E+000      4.096852E-005      0.000000E+000      1.021796E-006
  2.80000E+001  2.43139E+001  1.15291E+001  8.42167E+000  2.38139E+001  2.43139E+001         FSN      2.722123E+000      2.849244E-004      9.489077E-001      9.405570E-010      5.968595E-013      2.617543E-003      4.264866E-005      7.742128E-004      1.624665E-006      6.452039E-003      2.613529E-006      1.450985E-005      4.844071E-007      1.376776E-003      3.474773E-006      1.107862E-004      3.602773E-005      5.090918E-004      6.679610E-005      7.704687E-005      1.643435E-008      5.643362E-005      7.040205E-004      0.000000E+000      0.000000E+000      3.275853E-004      0.000000E+000      7.089113E-005      0.000000E+000      6.487700E-005      0.000000E+000      3.541970E-006      0.000000E+000      1.718637E-005      0.000000E+000      1.306480E-003      0.000000E+000      7.375261E-005      0.000000E+000      1.839464E-006
  3.00000E+001  2.58492E+001  1.24818E+001  9.28076E+000  2.53492E+001  2.58492E+001         FSN      3.065615E+000      3.302708E-004      1.068218E+000      9.922341E-010      1.593722E-013      2.966577E-003      3.697207E-005      8.595479E-004      1.943667E-006      7.267533E-003      2.939421E-006      1.637143E-005      5.456462E-007      1.550359E-003      3.898771E-006      1.248131E-004      4.050695E-005      5.732735E-004      7.523896E-005      8.669128E-005      4.588699E-008      6.356738E-005      7.927766E-004      0.000000E+000      0.000000E+000      3.688840E-004      0.000000E+000      7.982838E-005      0.000000E+000      7.305605E-005      0.000000E+000      3.988506E-006      0.000000E+000      1.935305E-005      0.000000E+000      1.471188E-003      0.000000E+000      8.305060E-005      0.000000E+000      2.071365E-006
  3.50000E+001  2.76685E+001  1.51606E+001  1.17793E+001  2.71685E+001  2.76685E+001         FSN      5.410375E+000      5.473562E-004      1.891264E+000      1.120854E-009      2.492880E-013      5.201325E-003      9.079494E-005      1.556233E-003      2.858514E-006      1.281409E-002      5.192386E-006      2.881375E-005      9.619116E-007      2.737876E-003      6.879893E-006      2.200895E-004      7.256273E-005      1.012584E-003      1.326580E-004      1.531753E-004      7.674860E-008      1.124830E-004      1.400293E-003      0.000000E+000      0.000000E+000      6.515640E-004      0.000000E+000      1.410018E-004      0.000000E+000      1.290398E-004      0.000000E+000      7.044945E-006      0.000000E+000      3.418352E-005      0.000000E+000      2.598577E-003      0.000000E+000      1.466933E-004      0.000000E+000      3.658677E-006
