# Initial composition Z = 0.004
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.399600E-001      2.316600E-005      2.559800E-001      4.352300E-009      4.338700E-011      7.192600E-004      8.715900E-006      1.940500E-004      4.772000E-007      1.759900E-003      7.103700E-007      3.969200E-006      1.322100E-007      3.736600E-004      9.405200E-007      3.022300E-005      9.420400E-006      1.381100E-004      1.821300E-005      2.085500E-005      0.000000E+000      1.526500E-005      1.909900E-004      8.944600E-006      1.712500E-006      8.887000E-005      2.149000E-006      1.923200E-005      9.656600E-007      1.760000E-005      1.275000E-008      9.609000E-007      9.763500E-008      4.662500E-006      2.585300E-006      3.544300E-004      9.397100E-007      2.000800E-005      1.975700E-007      4.990300E-007
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.38089E+001  4.82727E+000  2.72663E+000      1.356286E-001      9.785250E-006      5.473927E-002      1.801911E-010      4.520089E-015      9.529591E-005      4.443117E-006      1.226651E-004      5.073032E-008      2.917439E-004      1.965572E-007      5.632345E-007      2.177834E-008      7.095575E-005      3.807625E-007      4.922410E-006      3.030792E-006      2.640567E-005      3.041489E-006      4.382265E-006      5.556459E-010      2.982193E-006      3.651551E-005      0.000000E+000      0.000000E+000      1.699073E-005      0.000000E+000      3.676882E-006      0.000000E+000      3.364949E-006      0.000000E+000      1.837099E-007      0.000000E+000      8.913983E-007      0.000000E+000      6.776268E-005      0.000000E+000      3.825298E-006      0.000000E+000      9.540674E-008
  1.60000E+001  1.57290E+001  5.66226E+000  3.42322E+000      1.900792E-001      1.355741E-005      7.978494E-002      3.339266E-010      9.191958E-015      1.320591E-004      5.693799E-006      1.822967E-004      7.332058E-008      4.088538E-004      2.375226E-007      7.805774E-007      3.035885E-008      1.003536E-004      4.575079E-007      6.919475E-006      4.722174E-006      3.743551E-005      4.252709E-006      6.216612E-006      8.041751E-010      4.286378E-006      5.176749E-005      0.000000E+000      0.000000E+000      2.408729E-005      0.000000E+000      5.212614E-006      0.000000E+000      4.770397E-006      0.000000E+000      2.604405E-007      0.000000E+000      1.263711E-006      0.000000E+000      9.606529E-005      0.000000E+000      5.423019E-006      0.000000E+000      1.352555E-007
  1.80000E+001  1.74148E+001  6.63717E+000  4.14125E+000      4.316128E-001      3.811169E-005      1.511997E-001      5.432925E-010      8.572695E-015      3.866870E-004      1.734537E-005      1.477976E-004      1.933343E-007      1.021496E-003      4.250666E-007      2.242990E-006      7.670148E-008      2.185394E-004      5.673802E-007      1.752649E-005      5.810695E-006      8.082337E-005      1.057380E-005      1.226794E-005      4.057681E-010      8.957606E-006      1.117703E-004      0.000000E+000      0.000000E+000      5.200745E-005      0.000000E+000      1.125468E-005      0.000000E+000      1.029988E-005      0.000000E+000      5.623233E-007      0.000000E+000      2.728508E-006      0.000000E+000      2.074168E-004      0.000000E+000      1.170897E-005      0.000000E+000      2.920334E-007
  2.00000E+001  1.91336E+001  7.57288E+000  4.90225E+000      6.392188E-001      6.746979E-005      2.236891E-001      7.196746E-010      1.340007E-014      6.122910E-004      9.208756E-006      1.888832E-004      3.957384E-007      1.513724E-003      6.190322E-007      3.394301E-006      1.135596E-007      3.235778E-004      8.305132E-007      2.597816E-005      8.574402E-006      1.196672E-004      1.566968E-005      1.814618E-005      8.620885E-010      1.326548E-005      1.654872E-004      0.000000E+000      0.000000E+000      7.700225E-005      0.000000E+000      1.666368E-005      0.000000E+000      1.525000E-005      0.000000E+000      8.325761E-007      0.000000E+000      4.039830E-006      0.000000E+000      3.071015E-004      0.000000E+000      1.733630E-005      0.000000E+000      4.323847E-007
  2.20000E+001  2.09442E+001  8.48629E+000  5.67604E+000      7.787615E-001      8.298540E-005      2.726867E-001      8.134479E-010      1.913950E-014      7.490783E-004      1.021657E-005      2.287275E-004      4.900340E-007      1.843316E-003      7.505975E-007      4.140753E-006      1.382706E-007      3.942574E-004      1.004085E-006      3.163560E-005      1.049971E-005      1.458141E-004      1.908642E-005      2.210309E-005      6.139025E-009      1.617426E-005      2.016454E-004      0.000000E+000      0.000000E+000      9.382689E-005      0.000000E+000      2.030462E-005      0.000000E+000      1.858205E-005      0.000000E+000      1.014490E-006      0.000000E+000      4.922515E-006      0.000000E+000      3.742017E-004      0.000000E+000      2.112420E-005      0.000000E+000      5.268588E-007
  2.40000E+001  2.22491E+001  9.51571E+000  6.57732E+000      1.292379E+000      1.366407E-004      4.513814E-001      8.509055E-010      2.665069E-014      1.243220E-003      1.856699E-005      3.722469E-004      7.966256E-007      3.061874E-003      1.242916E-006      6.882673E-006      2.298126E-007      6.539249E-004      1.657016E-006      5.256450E-005      1.723064E-005      2.418223E-004      3.170004E-005      3.662292E-005      7.678939E-009      2.681127E-005      3.344149E-004      0.000000E+000      0.000000E+000      1.556054E-004      0.000000E+000      3.367380E-005      0.000000E+000      3.081705E-005      0.000000E+000      1.682461E-006      0.000000E+000      8.163648E-006      0.000000E+000      6.205876E-004      0.000000E+000      3.503303E-005      0.000000E+000      8.737587E-007
  2.60000E+001  2.39524E+001  1.04301E+001  7.43052E+000      1.511672E+000      1.626954E-004      5.275264E-001      8.920077E-010      1.248637E-013      1.461129E-003      1.822036E-005      4.300216E-004      9.643681E-007      3.581233E-003      1.449928E-006      8.063528E-006      2.688162E-007      7.647369E-004      1.927267E-006      6.149596E-005      2.011104E-005      2.827934E-004      3.708006E-005      4.279782E-005      2.314913E-008      3.136013E-005      3.910734E-004      0.000000E+000      0.000000E+000      1.819689E-004      0.000000E+000      3.937901E-005      0.000000E+000      3.603824E-005      0.000000E+000      1.967514E-006      0.000000E+000      9.546780E-006      0.000000E+000      7.257311E-004      0.000000E+000      4.096852E-005      0.000000E+000      1.021796E-006
  2.80000E+001  2.43139E+001  1.15291E+001  8.42167E+000      2.722123E+000      2.849244E-004      9.489077E-001      9.405570E-010      5.968595E-013      2.617543E-003      4.264866E-005      7.742128E-004      1.624665E-006      6.452039E-003      2.613529E-006      1.450985E-005      4.844071E-007      1.376776E-003      3.474773E-006      1.107862E-004      3.602773E-005      5.090918E-004      6.679610E-005      7.704687E-005      1.643435E-008      5.643362E-005      7.040205E-004      0.000000E+000      0.000000E+000      3.275853E-004      0.000000E+000      7.089113E-005      0.000000E+000      6.487700E-005      0.000000E+000      3.541970E-006      0.000000E+000      1.718637E-005      0.000000E+000      1.306480E-003      0.000000E+000      7.375261E-005      0.000000E+000      1.839464E-006
  3.00000E+001  2.58492E+001  1.24818E+001  9.28076E+000      3.065615E+000      3.302708E-004      1.068218E+000      9.922341E-010      1.593722E-013      2.966577E-003      3.697207E-005      8.595479E-004      1.943667E-006      7.267533E-003      2.939421E-006      1.637143E-005      5.456462E-007      1.550359E-003      3.898771E-006      1.248131E-004      4.050695E-005      5.732735E-004      7.523896E-005      8.669128E-005      4.588699E-008      6.356738E-005      7.927766E-004      0.000000E+000      0.000000E+000      3.688840E-004      0.000000E+000      7.982838E-005      0.000000E+000      7.305605E-005      0.000000E+000      3.988506E-006      0.000000E+000      1.935305E-005      0.000000E+000      1.471188E-003      0.000000E+000      8.305060E-005      0.000000E+000      2.071365E-006
  3.50000E+001  2.76685E+001  1.51606E+001  1.17793E+001      5.410375E+000      5.473562E-004      1.891264E+000      1.120854E-009      2.492880E-013      5.201325E-003      9.079494E-005      1.556233E-003      2.858514E-006      1.281409E-002      5.192386E-006      2.881375E-005      9.619116E-007      2.737876E-003      6.879893E-006      2.200895E-004      7.256273E-005      1.012584E-003      1.326580E-004      1.531753E-004      7.674860E-008      1.124830E-004      1.400293E-003      0.000000E+000      0.000000E+000      6.515640E-004      0.000000E+000      1.410018E-004      0.000000E+000      1.290398E-004      0.000000E+000      7.044945E-006      0.000000E+000      3.418352E-005      0.000000E+000      2.598577E-003      0.000000E+000      1.466933E-004      0.000000E+000      3.658677E-006
